task_id,event_id,start_time_ms,end_time_ms,category,sub_category,name,description,payload
1685,2,1780702856060,1780703364975,spark_execution,stage,Stage 0,"save at FormatSparkWriter.scala:28 - attempt=0, id=0, jobId=0, numTasks=7417, partitions=7417, shuffleOutput=HashPartitioning(ts), status=succeeded, tfId=1","{""id"":0,""tfId"":1,""jobId"":0,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":502999,""internal.metrics.resultSize"":42244731,""internal.metrics.executorCpuTime"":151910413230500,""internal.metrics.executorRunTime"":198203914,""internal.metrics.diskBytesSpilled"":2929188182,""internal.metrics.input.recordsRead"":28555289734,""internal.metrics.memoryBytesSpilled"":15435035040,""internal.metrics.peakExecutionMemory"":27791451827264,""internal.metrics.executorDeserializeTime"":248519,""internal.metrics.resultSerializationTime"":216,""internal.metrics.shuffle.write.writeTime"":37382733809218,""internal.metrics.executorDeserializeCpuTime"":98179509200,""internal.metrics.shuffle.write.bytesWritten"":7992881771203,""internal.metrics.shuffle.write.recordsWritten"":28555289734},""numTasks"":7417,""partitions"":7417,""shuffleOutput"":""HashPartitioning(ts)"",""taskMetricsDistributions"":{""duration"":[6172.0,22354.0,25592.0,29941.0,75000.0],""jvmGcTime"":[0.0,23.0,31.0,61.0,2280.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,4.0,4.0,5.0,82.0],""executorRunTime"":[6168.0,22348.0,25587.0,29933.0,74413.0],""diskBytesSpilled"":[0.0,0.0,0.0,0.0,1495937971.0],""memoryBytesSpilled"":[0.0,0.0,0.0,0.0,7717517520.0],""peakExecutionMemory"":[1040187152.0,3355442416.0,3690986656.0,4160748592.0,7985952976.0],""executorDeserializeTime"":[1.0,1.0,1.0,2.0,751.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,7.0],""inputMetrics_recordsRead"":[1064182.0,3380528.0,3784091.0,4259085.0,9116468.0],""shuffleWriteMetrics_writeBytes"":[153218036.0,993496841.0,1104178026.0,1211980513.0,1495937971.0],""shuffleWriteMetrics_writeRecords"":[1064182.0,3380528.0,3784091.0,4259085.0,9116468.0]}}"
1685,3,1780703365388,1780704264736,spark_execution,stage,Stage 2,"save at FormatSparkWriter.scala:28 - attempt=0, id=2, jobId=1, numTasks=13436, parentStages=(1), partitions=13436, shuffleInputs=(HashPartitioning(ts)), status=succeeded, tfId=1","{""id"":2,""tfId"":1,""jobId"":1,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":1000792,""internal.metrics.resultSize"":138820466,""internal.metrics.executorCpuTime"":266512221166000,""internal.metrics.executorRunTime"":355873023,""internal.metrics.output.bytesWritten"":1787130205300,""internal.metrics.peakExecutionMemory"":28497168620064,""internal.metrics.output.recordsWritten"":28555289734,""internal.metrics.executorDeserializeTime"":308589,""internal.metrics.resultSerializationTime"":1606,""internal.metrics.executorDeserializeCpuTime"":224939362100,""internal.metrics.shuffle.read.fetchWaitTime"":65090011,""internal.metrics.shuffle.read.localBytesRead"":76653272589,""internal.metrics.shuffle.read.remoteBytesRead"":7277807126342,""internal.metrics.shuffle.read.localBlocksFetched"":136,""internal.metrics.shuffle.read.remoteReqsDuration"":65521877,""internal.metrics.shuffle.read.remoteBlocksFetched"":12841,""internal.metrics.shuffle.read.remoteBytesReadToDisk"":7177177218974},""numTasks"":13436,""partitions"":13436,""parentStages"":""(1)"",""shuffleInputs"":""(HashPartitioning(ts))"",""taskMetricsDistributions"":{""duration"":[3519.0,19173.0,23237.0,28454.0,98140.0],""jvmGcTime"":[0.0,51.0,63.0,86.0,518.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,3.0,4.0,4.0,356.0],""executorRunTime"":[3498.0,19159.0,23222.0,28432.0,98122.0],""peakExecutionMemory"":[285212608.0,1677721216.0,1879047760.0,2281700864.0,5704252144.0],""executorDeserializeTime"":[6.0,9.0,10.0,16.0,1496.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,41.0],""outputMetrics_bytesWritten"":[12493663.0,104965526.0,122732440.0,141917422.0,308834971.0],""outputMetrics_recordsWritten"":[308292.0,1656925.0,1904116.0,2261220.0,6278384.0],""shuffleReadMetrics_readBytes"":[0.0,442342735.0,543099314.0,640499163.0,1374137618.0]}}"
1685,6,1780704268255,1780704272092,spark_execution,stage,Stage 3,"getHistory at DeltaTableOperations.scala:57 - attempt=0, id=3, jobId=2, numTasks=400, partitions=400, status=succeeded, tfId=2","{""id"":3,""tfId"":2,""jobId"":2,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":1967,""internal.metrics.resultSize"":791732,""internal.metrics.executorCpuTime"":72737141000,""internal.metrics.executorRunTime"":340397,""internal.metrics.input.recordsRead"":290,""internal.metrics.executorDeserializeTime"":85937,""internal.metrics.resultSerializationTime"":153,""internal.metrics.executorDeserializeCpuTime"":23330021700},""numTasks"":400,""partitions"":400,""taskMetricsDistributions"":{""duration"":[218.0,305.0,1286.0,1386.0,3825.0],""jvmGcTime"":[0.0,0.0,7.0,10.0,15.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[6.0,11.0,14.0,17.0,38.0],""executorRunTime"":[62.0,106.0,1102.0,1189.0,1824.0],""executorDeserializeTime"":[139.0,165.0,171.0,180.0,2312.0],""resultSerializationTime"":[0.0,0.0,0.0,1.0,3.0],""inputMetrics_recordsRead"":[0.0,0.0,1.0,1.0,1.0]}}"
1685,7,1780704269673,1780704796718,spark_execution,stage,Stage 4,"save at FormatSparkWriter.scala:28 - attempt=0, id=4, jobId=3, numTasks=7421, partitions=7421, shuffleOutput=HashPartitioning(ts), status=succeeded, tfId=4","{""id"":4,""tfId"":4,""jobId"":3,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":588137,""internal.metrics.resultSize"":42231814,""internal.metrics.executorCpuTime"":153208385675500,""internal.metrics.executorRunTime"":205440565,""internal.metrics.diskBytesSpilled"":1465556203,""internal.metrics.input.recordsRead"":28382846892,""internal.metrics.memoryBytesSpilled"":7650408672,""internal.metrics.peakExecutionMemory"":27669313721936,""internal.metrics.executorDeserializeTime"":9538,""internal.metrics.resultSerializationTime"":35,""internal.metrics.shuffle.write.writeTime"":43677750605260,""internal.metrics.executorDeserializeCpuTime"":9553935100,""internal.metrics.shuffle.write.bytesWritten"":7981636589946,""internal.metrics.shuffle.write.recordsWritten"":28382846892},""numTasks"":7421,""partitions"":7421,""shuffleOutput"":""HashPartitioning(ts)"",""taskMetricsDistributions"":{""duration"":[6662.0,22924.0,26720.0,31702.0,79892.0],""jvmGcTime"":[0.0,28.0,54.0,107.0,920.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[0.0,3.0,3.0,4.0,84.0],""executorRunTime"":[6658.0,22919.0,26715.0,31698.0,79888.0],""diskBytesSpilled"":[0.0,0.0,0.0,0.0,1465556203.0],""memoryBytesSpilled"":[0.0,0.0,0.0,0.0,7650408672.0],""peakExecutionMemory"":[973078304.0,3288333568.0,3623877808.0,4093639760.0,7985952976.0],""executorDeserializeTime"":[0.0,1.0,1.0,1.0,19.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,28.0],""inputMetrics_recordsRead"":[1072882.0,3376389.0,3748160.0,4208342.0,8779094.0],""shuffleWriteMetrics_writeBytes"":[155671182.0,991921199.0,1103783201.0,1208124183.0,1465556203.0],""shuffleWriteMetrics_writeRecords"":[1072882.0,3376389.0,3748160.0,4208342.0,8779094.0]}}"
1685,8,1780704272415,1780704776595,spark_execution,stage,Stage 5,"count at DeltaUtils.scala:16 - attempt=0, id=5, jobId=4, numTasks=178, partitions=178, shuffleOutput=SinglePartition$, status=succeeded, tfId=5","{""id"":5,""tfId"":5,""jobId"":4,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":330448,""internal.metrics.executorCpuTime"":254129400,""internal.metrics.executorRunTime"":382,""internal.metrics.executorDeserializeTime"":69,""internal.metrics.shuffle.write.writeTime"":157096589,""internal.metrics.executorDeserializeCpuTime"":141565400,""internal.metrics.shuffle.write.bytesWritten"":10502,""internal.metrics.shuffle.write.recordsWritten"":178},""numTasks"":178,""partitions"":178,""shuffleOutput"":""SinglePartition$"",""taskMetricsDistributions"":{""duration"":[2.0,2.0,3.0,3.0,158.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[1.0,2.0,2.0,3.0,4.0],""executorRunTime"":[0.0,0.0,0.0,1.0,155.0],""executorDeserializeTime"":[0.0,0.0,0.0,0.0,18.0],""shuffleWriteMetrics_writeBytes"":[59.0,59.0,59.0,59.0,59.0],""shuffleWriteMetrics_writeRecords"":[1.0,1.0,1.0,1.0,1.0]}}"
1685,12,1780704776631,1780704776849,spark_execution,stage,Stage 7,"count at DeltaUtils.scala:16 - attempt=0, id=7, jobId=5, numTasks=1, parentStages=(6), partitions=1, shuffleInputs=(SinglePartition$), status=succeeded, tfId=5","{""id"":7,""tfId"":5,""jobId"":5,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":4084,""internal.metrics.executorCpuTime"":38029500,""internal.metrics.executorRunTime"":191,""internal.metrics.executorDeserializeTime"":13,""internal.metrics.shuffle.read.recordsRead"":178,""internal.metrics.executorDeserializeCpuTime"":10785900,""internal.metrics.shuffle.read.fetchWaitTime"":136,""internal.metrics.shuffle.read.localBytesRead"":5192,""internal.metrics.shuffle.read.remoteBytesRead"":5310,""internal.metrics.shuffle.read.localBlocksFetched"":88,""internal.metrics.shuffle.read.remoteReqsDuration"":181,""internal.metrics.shuffle.read.remoteBlocksFetched"":90},""numTasks"":1,""partitions"":1,""parentStages"":""(6)"",""shuffleInputs"":""(SinglePartition$)"",""taskMetricsDistributions"":{""duration"":[213.0,213.0,213.0,213.0,213.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[9.0,9.0,9.0,9.0,9.0],""executorRunTime"":[191.0,191.0,191.0,191.0,191.0],""executorDeserializeTime"":[13.0,13.0,13.0,13.0,13.0],""shuffleReadMetrics_readBytes"":[10502.0,10502.0,10502.0,10502.0,10502.0],""shuffleReadMetrics_readRecords"":[178.0,178.0,178.0,178.0,178.0]}}"
1685,14,1780704776937,1780704777006,spark_execution,stage,Stage 8,"first at DeltaUtils.scala:18 - attempt=0, id=8, jobId=6, numTasks=178, partitions=178, status=succeeded, tfId=6","{""id"":8,""tfId"":6,""jobId"":6,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":329793,""internal.metrics.executorCpuTime"":192364400,""internal.metrics.executorRunTime"":155,""internal.metrics.executorDeserializeTime"":536,""internal.metrics.executorDeserializeCpuTime"":568669100},""numTasks"":178,""partitions"":178,""taskMetricsDistributions"":{""duration"":[1.0,2.0,2.0,3.0,54.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[1.0,2.0,2.0,2.0,4.0],""executorRunTime"":[0.0,0.0,0.0,0.0,12.0],""executorDeserializeTime"":[0.0,0.0,0.0,0.0,39.0]}}"
1685,15,1780704796968,1780705692131,spark_execution,stage,Stage 10,"save at FormatSparkWriter.scala:28 - attempt=0, id=10, jobId=7, numTasks=12839, parentStages=(9), partitions=12839, shuffleInputs=(HashPartitioning(ts)), status=succeeded, tfId=4","{""id"":10,""tfId"":4,""jobId"":7,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":1027177,""internal.metrics.resultSize"":132700205,""internal.metrics.executorCpuTime"":264459134890300,""internal.metrics.executorRunTime"":353949243,""internal.metrics.output.bytesWritten"":1785076167036,""internal.metrics.peakExecutionMemory"":28347570935232,""internal.metrics.output.recordsWritten"":28382846892,""internal.metrics.executorDeserializeTime"":146598,""internal.metrics.resultSerializationTime"":44,""internal.metrics.executorDeserializeCpuTime"":146961794800,""internal.metrics.shuffle.read.fetchWaitTime"":67571037,""internal.metrics.shuffle.read.localBytesRead"":68093913517,""internal.metrics.shuffle.read.remoteBytesRead"":7351909674425,""internal.metrics.shuffle.read.localBlocksFetched"":109,""internal.metrics.shuffle.read.remoteReqsDuration"":67917506,""internal.metrics.shuffle.read.remoteBlocksFetched"":12342,""internal.metrics.shuffle.read.remoteBytesReadToDisk"":7247468699178},""numTasks"":12839,""partitions"":12839,""parentStages"":""(9)"",""shuffleInputs"":""(HashPartitioning(ts))"",""taskMetricsDistributions"":{""duration"":[947.0,19892.0,24055.0,30357.0,118043.0],""jvmGcTime"":[0.0,53.0,69.0,94.0,620.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[1.0,3.0,3.0,4.0,39.0],""executorRunTime"":[933.0,19876.0,24041.0,30345.0,118015.0],""peakExecutionMemory"":[67633136.0,1677721216.0,1946156608.0,2348809712.0,6241122928.0],""executorDeserializeTime"":[6.0,8.0,9.0,15.0,78.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,24.0],""outputMetrics_bytesWritten"":[1225556.0,106856661.0,125198756.0,146406117.0,308708628.0],""outputMetrics_recordsWritten"":[9012.0,1677120.0,1942846.0,2384832.0,6289159.0],""shuffleReadMetrics_readBytes"":[0.0,457041256.0,553992086.0,663669339.0,1394817719.0]}}"
1685,18,1780705696205,1780705704031,spark_execution,stage,Stage 11,"getHistory at DeltaTableOperations.scala:57 - attempt=0, id=11, jobId=8, numTasks=400, partitions=400, status=succeeded, tfId=7","{""id"":11,""tfId"":7,""jobId"":8,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":778668,""internal.metrics.executorCpuTime"":5458801500,""internal.metrics.executorRunTime"":146946,""internal.metrics.input.recordsRead"":293,""internal.metrics.executorDeserializeTime"":8868,""internal.metrics.executorDeserializeCpuTime"":1876384000},""numTasks"":400,""partitions"":400,""taskMetricsDistributions"":{""duration"":[43.0,68.0,485.0,547.0,7814.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[4.0,9.0,32.0,36.0,47.0],""executorRunTime"":[8.0,14.0,435.0,495.0,7755.0],""executorDeserializeTime"":[7.0,15.0,18.0,32.0,43.0],""inputMetrics_recordsRead"":[0.0,0.0,1.0,1.0,1.0]}}"
1685,19,1780705704096,1780705704175,spark_execution,stage,Stage 12,"count at DeltaUtils.scala:16 - attempt=0, id=12, jobId=9, numTasks=179, partitions=179, shuffleOutput=SinglePartition$, status=succeeded, tfId=8","{""id"":12,""tfId"":8,""jobId"":9,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":345122,""internal.metrics.executorCpuTime"":1739247100,""internal.metrics.executorRunTime"":2623,""internal.metrics.executorDeserializeTime"":1688,""internal.metrics.shuffle.write.writeTime"":669612239,""internal.metrics.executorDeserializeCpuTime"":866582100,""internal.metrics.shuffle.write.bytesWritten"":10561,""internal.metrics.shuffle.write.recordsWritten"":179},""numTasks"":179,""partitions"":179,""shuffleOutput"":""SinglePartition$"",""taskMetricsDistributions"":{""duration"":[9.0,29.0,30.0,33.0,77.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[3.0,6.0,6.0,8.0,10.0],""executorRunTime"":[1.0,14.0,15.0,16.0,39.0],""executorDeserializeTime"":[3.0,8.0,9.0,10.0,29.0],""shuffleWriteMetrics_writeBytes"":[59.0,59.0,59.0,59.0,59.0],""shuffleWriteMetrics_writeRecords"":[1.0,1.0,1.0,1.0,1.0]}}"
