key,value
tf_id,10113
agent_tf_id,5
task_id,1685
env,default
task_name,polaris-bhv4-100
app_id,2
app_name,polaris-bhv4-100
app_pit,2026-06-05T23:40:07
output_name,
tf_type,count
status,COMPLETED
start_time,2026-06-06T00:04:32.364000+00:00
end_time,2026-06-06T00:12:56.853000+00:00
duration,504.489
cnt_test_runs,
cnt_alerts,
cnt_breaks,
cnt_metrics,
tf_io_type,internal
error,
description,count at DeltaUtils.scala:16 (Aggregate)
query_str,"Aggregate([count($VAR_1$) AS count])
:- LocalRelation()
"
query_vars,"{""$VAR_1$"":""1""}"
labels,
prev_query,
prev_query_vars,
inputs,
