key,value
env_id,1
task_id,4665
app_pit,2026-07-06T12:40:09
task_name,polaris-bhv4-100
task_type,spark
start_time,2026-07-06T12:40:13.009000+00:00
end_time,2026-07-06T12:42:05.749000+00:00
status,COMPLETED
error,
app_id,2
notification_sent,false
pipeline_run_id,2-2026-07-06 12:40:09
user_task_id,polaris-bhv4-100
last_heartbeat,2026-07-06T12:40:13.009000+00:00
params_baseline_id,73
task_sub_type,
agent_task_id,1966975479
tenant_id,1
parent_task_id,
retention_end_time,
app_name,polaris-bhv4-100
env_name,default
task_duration,112.74
cost,0.693347264396552
env,default
duration,112.74
task_rnum,1
utilization,0.0019068651187855634
cnt_metrics,79
cnt_test_runs,5
cnt_alerts,0
cnt_breaks,0
cnt_tfs_completed,
cnt_tfs_running,
cnt_tfs_failed,
run_insights,"{""app_id"":2,""env_id"":1,""app_pit"":""2026-07-06T12:40:09"",""task_id"":4665,""task_name"":""polaris-bhv4-100"",""driver__cores"":4,""task__duration"":112.74,""executor__cores"":5,""task__idle_time"":112.740000009537,""task__skew_time"":0,""task__alerts_count"":0,""task__breaks_count"":0,""executors__duration"":12269.632103448275,""task__metrics_count"":79,""task__total_io_bytes"":0,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-07-06T12:42:05.922486"",""executors__jvm_gc_time"":0,""task__task_cpus__param"":1,""task__tests_runs_count"":5,""task__vcore_time__used"":465,""suggested_executors_max"":75,""suggested_executors_min"":0,""task__memory_time__used"":109.63096925944093,""configured_max_executors"":150,""driver__memory__max_used"":0.972423002123833,""task__disk_bytes_spilled"":0,""driver__memory__allocated"":6,""executors__cpu_time__used"":1824.03,""task__idle_time_percentage"":100.0000000084593,""task__skew_time_percentage"":0,""executor__memory__allocated"":58,""executors__vcore_time__used"":0,""task__vcore_time__allocated"":61812,""driver__vcore_time_allocated"":450.96,""executors__memory_time__used"":0,""task__memory_time__allocated"":712315.102,""driver__heap_memory__max_used"":0.972423002123833,""driver__heap_memory__allocated"":4,""driver__memory_time__allocated"":676.4399999999999,""executors__vcores_time__unused"":116561.50498275862,""executor__memory_heap__max_used"":0.874977990984917,""task__executor_instances__param"":150,""task__shuffle_partitions__param"":""200"",""executor__memory_heap__allocated"":50,""executors__vcore_time__allocated"":61346,""task__is_run_with_long_idle_time"":true,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":711638.662,""executors__vcore_time__allocated2"":61346,""executor__memory_off_heap__max_used"":0,""driver__memory_heap__suggested_value"":2,""executor__memory_off_heap__allocated"":8,""executor__memory_heap__max_percentage"":1.749955981969834,""executor__memory_heap__suggested_value"":2,""executor__memory_off_heap__max_percentage"":0,""executor__memory_off_heap__suggested_value"":5,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":24.310575053095825,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":0}"
links,
version,3.5.7
