task_id,event_id,start_time_ms,end_time_ms,category,sub_category,name,description,payload
18609,1,1788678144162,1788678231046,spark_execution,stage,Stage 0,,"{""id"":0,""name"":""json at FeedAggApp.scala:163"",""jobId"":0,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":4341,""internal.metrics.executorCpuTime"":198829700,""internal.metrics.executorRunTime"":264,""internal.metrics.executorDeserializeTime"":490,""internal.metrics.resultSerializationTime"":3,""internal.metrics.executorDeserializeCpuTime"":256024300},""numTasks"":2,""partitions"":2,""taskMetricsDistributions"":{""duration"":[427.0,427.0,427.0,427.0,427.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""resultSize"":[2149.0,2149.0,2149.0,2149.0,2149.0],""schedulerDelay"":[54.0,54.0,54.0,54.0,54.0],""executorCpuTime"":[92325900.0,92325900.0,92325900.0,92325900.0,92325900.0],""executorRunTime"":[122.0,122.0,122.0,122.0,122.0],""executorDeserializeTime"":[245.0,245.0,245.0,245.0,245.0],""executorDeserializeCpuTime"":[99417200.0,99417200.0,99417200.0,99417200.0,99417200.0]}}"
18609,5,1788678237719,1788678239255,spark_execution,stage,Stage 1,,"{""id"":1,""name"":""$anonfun$withThreadLocalCaptured$1 at FutureTask.java:264"",""tfId"":0,""jobId"":1,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":160,""internal.metrics.resultSize"":3233929,""internal.metrics.executorCpuTime"":2576612800,""internal.metrics.executorRunTime"":10233,""internal.metrics.executorDeserializeTime"":2743,""internal.metrics.resultSerializationTime"":6,""internal.metrics.executorDeserializeCpuTime"":815638200},""numTasks"":10,""rootTfId"":0,""partitions"":10,""taskMetricsDistributions"":{""duration"":[1131.0,1133.0,1471.0,1519.0,1521.0],""jvmGcTime"":[16.0,16.0,16.0,16.0,16.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""resultSize"":[5209.0,10024.0,17483.0,442068.0,1587169.0],""schedulerDelay"":[14.0,17.0,31.0,34.0,41.0],""executorCpuTime"":[56142600.0,98934200.0,160272500.0,331259200.0,751939400.0],""executorRunTime"":[953.0,956.0,1041.0,1100.0,1102.0],""gettingResultTime"":[0.0,0.0,0.0,0.0,29.0],""executorDeserializeTime"":[160.0,162.0,387.0,387.0,387.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,3.0],""executorDeserializeCpuTime"":[30099400.0,35132800.0,89327400.0,96184400.0,197467400.0]}}"
18609,6,1788678237953,1788678447219,spark_execution,stage,Stage 2,,"{""id"":2,""name"":""first at B4FeedAggApp.scala:233"",""tfId"":0,""jobId"":2,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":584672,""internal.metrics.resultSize"":60917908,""internal.metrics.executorCpuTime"":69601999140800,""internal.metrics.executorRunTime"":127235421,""internal.metrics.input.recordsRead"":16512198863,""internal.metrics.peakExecutionMemory"":10381364490448,""internal.metrics.executorDeserializeTime"":1399737,""internal.metrics.resultSerializationTime"":499,""internal.metrics.shuffle.write.writeTime"":46006423207186,""internal.metrics.executorDeserializeCpuTime"":370204087400,""internal.metrics.shuffle.write.bytesWritten"":1973835820411,""internal.metrics.shuffle.write.recordsWritten"":14287651660},""numTasks"":13480,""rootTfId"":0,""partitions"":13480,""taskMetricsDistributions"":{""duration"":[707.0,7274.0,8917.0,11065.0,31114.0],""jvmGcTime"":[0.0,17.0,24.0,48.0,300.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""resultSize"":[4066.0,4234.0,4250.0,4328.0,12515.0],""schedulerDelay"":[2.0,4.0,4.0,5.0,61.0],""executorCpuTime"":[71749500.0,3769540600.0,4748264200.0,6074652400.0,15052765200.0],""executorRunTime"":[702.0,7268.0,8910.0,10985.0,31104.0],""peakExecutionMemory"":[32768.0,620756848.0,771751760.0,905969456.0,1744830064.0],""executorDeserializeTime"":[1.0,1.0,2.0,3.0,1721.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,14.0],""inputMetrics_recordsRead"":[116.0,969667.0,1192837.0,1457695.0,3113483.0],""executorDeserializeCpuTime"":[1009500.0,1965900.0,2359400.0,3102600.0,1361921600.0],""shuffleWriteMetrics_writeTime"":[0.0,1403087598.0,3367163577.0,4771702695.0,22524518046.0],""shuffleWriteMetrics_writeBytes"":[0.0,115203070.0,144991696.0,174935947.0,317633693.0],""shuffleWriteMetrics_writeRecords"":[0.0,818353.0,1042749.0,1290570.0,3068617.0]}}"
18609,7,1788678449416,1788679504883,spark_execution,stage,Stage 4,,"{""id"":4,""name"":""first at B4FeedAggApp.scala:233"",""tfId"":0,""jobId"":3,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":67777924,""internal.metrics.resultSize"":233188338,""internal.metrics.executorCpuTime"":524708926291700,""internal.metrics.executorRunTime"":1034537086,""internal.metrics.peakExecutionMemory"":19428347221728,""internal.metrics.executorDeserializeTime"":427162,""internal.metrics.resultSerializationTime"":1486,""internal.metrics.shuffle.write.writeTime"":936229814468,""internal.metrics.shuffle.read.recordsRead"":14287651660,""internal.metrics.executorDeserializeCpuTime"":259302859500,""internal.metrics.shuffle.read.fetchWaitTime"":433812188,""internal.metrics.shuffle.write.bytesWritten"":700185379952,""internal.metrics.shuffle.read.localBytesRead"":9875419013,""internal.metrics.shuffle.read.remoteBytesRead"":1963960401398,""internal.metrics.shuffle.write.recordsWritten"":1000928534,""internal.metrics.shuffle.read.localBlocksFetched"":1319856,""internal.metrics.shuffle.read.remoteReqsDuration"":2093340325,""internal.metrics.shuffle.read.remoteBlocksFetched"":262242822},""numTasks"":20000,""rootTfId"":0,""partitions"":20000,""parentStages"":""(3)"",""taskMetricsDistributions"":{""duration"":[21929.0,32076.0,37499.0,64403.0,274093.0],""jvmGcTime"":[442.0,2991.0,3432.0,3842.0,9194.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""resultSize"":[11333.0,11606.0,11659.0,11714.0,11943.0],""schedulerDelay"":[1.0,4.0,4.0,5.0,334.0],""executorCpuTime"":[18429042900.0,23359106400.0,26184724700.0,28662545100.0,81168486800.0],""executorRunTime"":[21917.0,32059.0,37439.0,64394.0,274083.0],""peakExecutionMemory"":[907018032.0,907018032.0,974126880.0,974126880.0,2484075984.0],""executorDeserializeTime"":[4.0,6.0,7.0,10.0,1866.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,197.0],""executorDeserializeCpuTime"":[4626200.0,6611900.0,7671400.0,10184400.0,1497818000.0],""shuffleReadMetrics_readBytes"":[89300856.0,95773192.0,97378490.0,99308861.0,707614309.0],""shuffleWriteMetrics_writeTime"":[25097179.0,33814559.0,39017284.0,47371865.0,1830487301.0],""shuffleReadMetrics_readRecords"":[605648.0,665283.0,689164.0,726068.0,3551356.0],""shuffleWriteMetrics_writeBytes"":[34171929.0,34860910.0,35008209.0,35156734.0,36575962.0],""shuffleReadMetrics_fetchWaitTime"":[0.0,0.0,3620.0,36259.0,234163.0],""shuffleWriteMetrics_writeRecords"":[49204.0,49898.0,50046.0,50197.0,51028.0],""shuffleReadMetrics_remoteBytesRead"":[88955636.0,95292863.0,96891614.0,98802936.0,707133500.0],""shuffleReadMetrics_localBlocksFetched"":[0.0,61.0,67.0,71.0,90.0],""shuffleReadMetrics_remoteReqsDuration"":[2146.0,4850.0,18954.0,133381.0,843410.0],""shuffleReadMetrics_totalBlocksFetched"":[13135.0,13172.0,13178.0,13185.0,13212.0],""shuffleReadMetrics_remoteBlocksFetched"":[13057.0,13104.0,13112.0,13120.0,13205.0]}}"
18609,8,1788678550418,1788678772775,insight,skewed_stage,Skew (stage=4),,"{""stageId"":4,""topKeys"":{""(ip,account,ts,salt)=(3.145.229.192,1-K05YI,1788663600000,1)"":0.649,""(ip,account,ts,salt)=(194.140.206.2,F-AC-2077009,1788663600000,1)"":0.11,""(ip,account,ts,salt)=(73.227.153.96,F-AC-5048269,1788663600000,3)"":0.008},""stageAttempt"":0,""shuffleInputs"":""HashPartitioning(ip, account, ts, salt)"",""maxTaskMetrics"":{""internal.metrics.jvmGCTime"":6052,""internal.metrics.resultSize"":11755,""internal.metrics.executorCpuTime"":35268367100,""internal.metrics.executorRunTime"":274083,""internal.metrics.peakExecutionMemory"":1477443248,""internal.metrics.executorDeserializeTime"":6,""internal.metrics.shuffle.write.writeTime"":35553109,""internal.metrics.shuffle.read.recordsRead"":1059366,""internal.metrics.executorDeserializeCpuTime"":6178800,""internal.metrics.shuffle.read.fetchWaitTime"":234163,""internal.metrics.shuffle.write.bytesWritten"":34838660,""internal.metrics.shuffle.read.localBytesRead"":494916,""internal.metrics.shuffle.read.remoteBytesRead"":166961268,""internal.metrics.shuffle.write.recordsWritten"":49717,""internal.metrics.shuffle.read.localBlocksFetched"":74,""internal.metrics.shuffle.read.remoteReqsDuration"":614544,""internal.metrics.shuffle.read.remoteBlocksFetched"":13090},""avgTaskDurationSec"":51,""maxTaskDurationSec"":274,""p75TaskDurationSec"":64}"
18609,9,1788678237651,1788679509246,spark_execution,broadcast,Broadcast,,"{""dataSize"":83886064,""buildTime"":146,""collectTime"":1609,""broadcastTime"":63,""numOutputRows"":282254}"
18609,10,1788679509409,1788679694627,spark_execution,stage,Stage 7,,"{""id"":7,""name"":""first at B4FeedAggApp.scala:233"",""tfId"":0,""jobId"":4,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":12434020,""internal.metrics.resultSize"":203935803,""internal.metrics.executorCpuTime"":26140104203800,""internal.metrics.executorRunTime"":183342368,""internal.metrics.peakExecutionMemory"":3030384000000,""internal.metrics.executorDeserializeTime"":421928,""internal.metrics.resultSerializationTime"":2185,""internal.metrics.shuffle.write.writeTime"":65721966677,""internal.metrics.shuffle.read.recordsRead"":1000928534,""internal.metrics.executorDeserializeCpuTime"":267646325400,""internal.metrics.shuffle.read.fetchWaitTime"":135238830,""internal.metrics.shuffle.write.bytesWritten"":58641591562,""internal.metrics.shuffle.read.localBytesRead"":3482584161,""internal.metrics.shuffle.read.remoteBytesRead"":696702795791,""internal.metrics.shuffle.write.recordsWritten"":507870357,""internal.metrics.shuffle.read.localBlocksFetched"":1818735,""internal.metrics.shuffle.read.remoteReqsDuration"":1755403139,""internal.metrics.shuffle.read.remoteBlocksFetched"":363492765},""numTasks"":20000,""rootTfId"":0,""partitions"":20000,""parentStages"":""(6)"",""taskMetricsDistributions"":{""duration"":[1005.0,2127.0,2531.0,5655.0,157485.0],""jvmGcTime"":[0.0,477.0,646.0,775.0,2312.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""resultSize"":[10153.0,10198.0,10198.0,10199.0,10243.0],""schedulerDelay"":[1.0,3.0,3.0,4.0,452.0],""executorCpuTime"":[809263900.0,1146408800.0,1305877400.0,1463984500.0,2196778300.0],""executorRunTime"":[994.0,2100.0,2503.0,5638.0,157384.0],""peakExecutionMemory"":[151519200.0,151519200.0,151519200.0,151519200.0,151519200.0],""executorDeserializeTime"":[6.0,9.0,14.0,19.0,760.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,450.0],""executorDeserializeCpuTime"":[6726500.0,9778200.0,13466500.0,16120500.0,65329800.0],""shuffleReadMetrics_readBytes"":[33268906.0,34724808.0,35006107.0,35284681.0,39470001.0],""shuffleWriteMetrics_writeTime"":[904666.0,1705467.0,2147548.0,2661598.0,394337293.0],""shuffleReadMetrics_readRecords"":[48362.0,49795.0,50047.0,50297.0,51603.0],""shuffleWriteMetrics_writeBytes"":[2838499.0,2917923.0,2931863.0,2945435.0,3129708.0],""shuffleReadMetrics_fetchWaitTime"":[0.0,0.0,0.0,3723.0,95536.0],""shuffleWriteMetrics_writeRecords"":[24651.0,25286.0,25393.0,25500.0,26037.0],""shuffleReadMetrics_remoteBytesRead"":[33096759.0,34553454.0,34831745.0,35109546.0,39282351.0],""shuffleReadMetrics_localBlocksFetched"":[60.0,85.0,91.0,97.0,123.0],""shuffleReadMetrics_remoteReqsDuration"":[2703.0,14673.0,21570.0,37556.0,2106088.0],""shuffleReadMetrics_totalBlocksFetched"":[18069.0,18234.0,18266.0,18297.0,18466.0],""shuffleReadMetrics_remoteBlocksFetched"":[17978.0,18142.0,18175.0,18207.0,18369.0]}}"
18609,11,1788679518606,1788679666823,insight,skewed_stage,Skew (stage=7),,"{""stageId"":7,""topKeys"":{},""stageAttempt"":0,""shuffleInputs"":""HashPartitioning(ip, account, ts)"",""maxTaskMetrics"":{""internal.metrics.jvmGCTime"":218,""internal.metrics.resultSize"":10197,""internal.metrics.executorCpuTime"":1564840600,""internal.metrics.executorRunTime"":157384,""internal.metrics.peakExecutionMemory"":151519200,""internal.metrics.executorDeserializeTime"":30,""internal.metrics.shuffle.write.writeTime"":2727828,""internal.metrics.shuffle.read.recordsRead"":50471,""internal.metrics.executorDeserializeCpuTime"":11339100,""internal.metrics.shuffle.read.fetchWaitTime"":50665,""internal.metrics.shuffle.write.bytesWritten"":2975817,""internal.metrics.shuffle.read.localBytesRead"":151060,""internal.metrics.shuffle.read.remoteBytesRead"":35601610,""internal.metrics.shuffle.write.recordsWritten"":25675,""internal.metrics.shuffle.read.localBlocksFetched"":87,""internal.metrics.shuffle.read.remoteReqsDuration"":1889113,""internal.metrics.shuffle.read.remoteBlocksFetched"":18206},""avgTaskDurationSec"":9,""maxTaskDurationSec"":157,""p75TaskDurationSec"":5}"
18609,12,1788679694905,1788679702124,spark_execution,stage,Stage 11,,"{""id"":11,""name"":""first at B4FeedAggApp.scala:233"",""tfId"":0,""jobId"":5,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":38706,""internal.metrics.resultSize"":1868598,""internal.metrics.executorCpuTime"":1715169386400,""internal.metrics.executorRunTime"":2427232,""internal.metrics.executorDeserializeTime"":24029,""internal.metrics.resultSerializationTime"":1,""internal.metrics.shuffle.read.recordsRead"":507870357,""internal.metrics.executorDeserializeCpuTime"":11103190500,""internal.metrics.shuffle.read.fetchWaitTime"":640885,""internal.metrics.shuffle.read.localBytesRead"":301941870,""internal.metrics.shuffle.read.remoteBytesRead"":58339649692,""internal.metrics.shuffle.read.localBlocksFetched"":103,""internal.metrics.shuffle.read.remoteReqsDuration"":4271842,""internal.metrics.shuffle.read.remoteBlocksFetched"":19897},""numTasks"":500,""rootTfId"":0,""partitions"":500,""parentStages"":""(10)"",""taskMetricsDistributions"":{""duration"":[3235.0,3801.0,4894.0,6163.0,7205.0],""jvmGcTime"":[0.0,38.0,90.0,113.0,176.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""resultSize"":[3704.0,3747.0,3747.0,3747.0,3790.0],""schedulerDelay"":[4.0,12.0,16.0,21.0,54.0],""executorCpuTime"":[3054456800.0,3325889600.0,3428500000.0,3527439400.0,3973917100.0],""executorRunTime"":[3164.0,3740.0,4828.0,6100.0,7149.0],""executorDeserializeTime"":[14.0,44.0,46.0,48.0,256.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,1.0],""executorDeserializeCpuTime"":[5432900.0,16521800.0,22000700.0,27315900.0,44894900.0],""shuffleReadMetrics_readBytes"":[116916309.0,117184755.0,117277934.0,117381415.0,117713237.0],""shuffleReadMetrics_readRecords"":[1013264.0,1015006.0,1015685.0,1016487.0,1018659.0],""shuffleReadMetrics_fetchWaitTime"":[0.0,32.0,1073.0,2512.0,3728.0],""shuffleReadMetrics_remoteBytesRead"":[108475615.0,117105408.0,117237280.0,117349906.0,117713237.0],""shuffleReadMetrics_localBlocksFetched"":[0.0,0.0,0.0,0.0,3.0],""shuffleReadMetrics_remoteReqsDuration"":[435.0,5304.0,8234.0,11314.0,26346.0],""shuffleReadMetrics_totalBlocksFetched"":[40.0,40.0,40.0,40.0,40.0],""shuffleReadMetrics_remoteBlocksFetched"":[37.0,40.0,40.0,40.0,40.0]}}"
18609,13,1788679702192,1788679703065,spark_execution,stage,Stage 15,,"{""id"":15,""name"":""first at B4FeedAggApp.scala:233"",""tfId"":0,""jobId"":6,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":8277,""internal.metrics.resultSize"":2069172,""internal.metrics.executorCpuTime"":242333349600,""internal.metrics.executorRunTime"":296272,""internal.metrics.input.bytesRead"":74588532128,""internal.metrics.input.recordsRead"":51000,""internal.metrics.peakExecutionMemory"":33685496000,""internal.metrics.executorDeserializeTime"":11178,""internal.metrics.resultSerializationTime"":111,""internal.metrics.shuffle.write.writeTime"":1356217504,""internal.metrics.executorDeserializeCpuTime"":6227784200,""internal.metrics.shuffle.write.bytesWritten"":6331777,""internal.metrics.shuffle.write.recordsWritten"":500},""numTasks"":500,""rootTfId"":0,""partitions"":500,""parentStages"":""(14)"",""taskMetricsDistributions"":{""duration"":[479.0,579.0,624.0,679.0,863.0],""jvmGcTime"":[0.0,0.0,0.0,25.0,173.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""resultSize"":[4124.0,4126.0,4127.0,4168.0,4213.0],""schedulerDelay"":[6.0,13.0,16.0,19.0,26.0],""executorCpuTime"":[314472400.0,418890000.0,480641700.0,540450600.0,736867800.0],""executorRunTime"":[449.0,538.0,585.0,643.0,829.0],""peakExecutionMemory"":[67370992.0,67370992.0,67370992.0,67370992.0,67370992.0],""inputMetrics_bytesRead"":[148623024.0,149044712.0,149172856.0,149309088.0,149857888.0],""executorDeserializeTime"":[17.0,20.0,22.0,25.0,29.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,37.0],""inputMetrics_recordsRead"":[102.0,102.0,102.0,102.0,102.0],""executorDeserializeCpuTime"":[8510600.0,10946400.0,12324200.0,13823000.0,19213800.0],""shuffleWriteMetrics_writeTime"":[148716.0,2731208.0,3111409.0,3297531.0,28383230.0],""shuffleWriteMetrics_writeBytes"":[12549.0,12630.0,12660.0,12691.0,12870.0],""shuffleWriteMetrics_writeRecords"":[1.0,1.0,1.0,1.0,1.0]}}"
