key,value
spark.kubernetes.executor.label.sparkoperator.k8s.io/submission-id,"{""value"":""614f94c2-cfc0-4680-93e4-26954b96ebdc"",""black_listed"":true}"
spark.driver.host,"{""value"":""spark-b66c1da075853e8d-driver-svc.spark-apps.svc"",""black_listed"":true}"
spark.kubernetes.driver.label.sparkoperator.k8s.io/submission-id,"{""value"":""614f94c2-cfc0-4680-93e4-26954b96ebdc"",""black_listed"":true}"
spark.executorEnv.SPARK_DRIVER_POD_IP,"{""value"":""172.16.2.78"",""black_listed"":true}"
spark.driver.port,"{""value"":""7078"",""black_listed"":true}"
spark.jars,"{""value"":""local:/app/cr-ml-b4-pre-agg.jar,local:///app/cr-ml-b4-pre-agg.jar"",""black_listed"":true}"
spark.app.submitTime,"{""value"":""1788678105798"",""black_listed"":true}"
spark.driver.bindAddress,"{""value"":""172.16.2.78"",""black_listed"":true}"
spark.app.startTime,"{""value"":""1788678105917"",""black_listed"":true}"
spark.app.initial.jar.urls,"{""value"":""file:/app/cr-ml-b4-pre-agg.jar"",""black_listed"":true}"
config.object.key.global,"{""value"":""CRML/prefilters-for-FE/prefilters-global-as-sql.jsonlines"",""black_listed"":false}"
spark.master,"{""value"":""k8s://https://192.168.0.1:443"",""black_listed"":true}"
data.processing.mode,"{""value"":""BATCH"",""black_listed"":false}"
config.blob.tenant.id,"{""value"":""514876bd-5965-4b40-b0c8-e336cf72c743"",""black_listed"":false}"
spark.repl.local.jars,"{""value"":""local:///app/cr-ml-b4-pre-agg.jar"",""black_listed"":true}"
account.ips.filter.key,"{""value"":""CRML/prefilters-for-FE/account-ips-filter.jsonlines"",""black_listed"":false}"
hll.error.ratio,"{""value"":""12"",""black_listed"":false}"
enable.commit.kafka,"{""value"":""true"",""black_listed"":false}"
spark.app.id,"{""value"":""spark-4109fa1c1ec946f09ba8517f996d40b6"",""black_listed"":true}"
definity.server.version,"{""value"":""0.81.0"",""black_listed"":false,""distinct_values_count"":4}"
config.blob.client.id,"{""value"":""d66d2efb-bdf8-48c0-b6e1-33a644bf2c50"",""black_listed"":false}"
config.blob.client.secret,"{""value"":""*****"",""black_listed"":false}"
config.blob.container.name,"{""value"":""client-reputation-metadata"",""black_listed"":false}"
config.blob.storage.endpoint,"{""value"":""https://csicrprod.blob.core.windows.net/client-reputation-metadata"",""black_listed"":false}"
config.blob.storage.name,"{""value"":""csicrprod"",""black_listed"":false}"
config.storage.client.class,"{""value"":""com.akamai.csi.guardian.knowhere.storage.azure.BlobStorageClientImpl"",""black_listed"":false}"
connector.name,"{""value"":""cr-ml-b4-pre-agg"",""black_listed"":false}"
definity.agent.version,"{""value"":""0.93.0"",""black_listed"":false,""distinct_values_count"":2}"
enable.filter.metrics,"{""value"":""false"",""black_listed"":false}"
fs.s3a.aws.credentials.provider,"{""value"":""*****"",""black_listed"":false,""distinct_values_count"":2}"
fs.s3a.bucket.all.committer.magic.enabled,"{""value"":""true"",""black_listed"":false}"
fs.s3a.bucket.csi-perf-1-us-mia-2-cr-ml-b4-pre-agg.server-side-encryption-algorithm,"{""value"":""SSE-C"",""black_listed"":false}"
fs.s3a.bucket.csi-perf-test-us-mia-2-cr-ml-b4-pre-agg.server-side-encryption-algorithm,"{""value"":""SSE-C"",""black_listed"":false}"
fs.s3a.bucket.csi-qa-1-us-mia-2-cr-ml-b4-pre-agg.server-side-encryption-algorithm,"{""value"":""SSE-C"",""black_listed"":false}"
fs.s3a.bucket.csi-qa-test-us-mia-2-cr-ml-b4-pre-agg.server-side-encryption-algorithm,"{""value"":""SSE-C"",""black_listed"":false}"
fs.s3a.committer.name,"{""value"":""magic"",""black_listed"":false}"
fs.s3a.endpoint,"{""value"":""us-mia-2.linodeobjects.com"",""black_listed"":false}"
fs.s3a.impl,"{""value"":""org.apache.hadoop.fs.s3a.S3AFileSystem"",""black_listed"":false}"
fs.s3a.path.style.access,"{""value"":""true"",""black_listed"":false}"
host.set.max.size,"{""value"":""250"",""black_listed"":false}"
host.set.max.size.pre.agg,"{""value"":""500"",""black_listed"":false}"
input.blob.client.id,"{""value"":""d66d2efb-bdf8-48c0-b6e1-33a644bf2c50"",""black_listed"":false}"
input.blob.client.secret,"{""value"":""*****"",""black_listed"":false}"
input.blob.connection.mode,"{""value"":""SERVICE_PRINCIPAL"",""black_listed"":false}"
input.blob.container.name,"{""value"":""gamora-behavioral4"",""black_listed"":false}"
input.blob.storage.name,"{""value"":""gamorabehavioral4prod"",""black_listed"":false}"
input.blob.tenant.id,"{""value"":""514876bd-5965-4b40-b0c8-e336cf72c743"",""black_listed"":false}"
input.linode.endpoint,"{""value"":""us-mia-2.linodeobjects.com"",""black_listed"":false}"
input.schema.blob.container.name,"{""value"":""gamora-behavioral4"",""black_listed"":false}"
input.schema.blob.storage.name,"{""value"":""gamorabehavioral4prod"",""black_listed"":false}"
input.schema.use.service.api,"{""value"":""false"",""black_listed"":false}"
input.storage.client.class,"{""value"":""com.akamai.csi.guardian.knowhere.storage.azure.BlobStorageClientImpl"",""black_listed"":false}"
java.version,"{""value"":""17.0.20"",""black_listed"":false,""distinct_values_count"":2}"
kafka.bootstrap.servers,"{""value"":""redpanda-0.prod-redpanda.aks.prod.akamaicsi.net:31092,redpanda-1.prod-redpanda.aks.prod.akamaicsi.net:31092,redpanda-2.prod-redpanda.aks.prod.akamaicsi.net:31092,redpanda-3.prod-redpanda.aks.prod.akamaicsi.net:31092,redpanda-4.prod-redpanda.aks.prod.akamaicsi.net:31092,redpanda-5.prod-redpanda.aks.prod.akamaicsi.net:31092,redpanda-6.prod-redpanda.aks.prod.akamaicsi.net:31092,redpanda-7.prod-redpanda.aks.prod.akamaicsi.net:31092,redpanda-8.prod-redpanda.aks.prod.akamaicsi.net:31092,redpanda-9.prod-redpanda.aks.prod.akamaicsi.net:31092"",""black_listed"":false}"
kafka.consume.auto.offset.reset,"{""value"":""earliest"",""black_listed"":false}"
kafka.consume.group.id,"{""value"":""csi_prod_centralus_cr.cr-ml-pre-agg-b4"",""black_listed"":false}"
kafka.consumer.max.poll.interval.ms,"{""value"":""3600000"",""black_listed"":false}"
kafka.consume.topic.prefix,"{""value"":""csi_prod_centralus_ingest.gamora-behavioral4-"",""black_listed"":false}"
kafka.has.records.count.statistics,"{""value"":""true"",""black_listed"":false}"
kafka.message.ttl.sec,"{""value"":""21600"",""black_listed"":false}"
kafka.output.topic.prefix,"{""value"":""csi_prod_centralus_cr.cr-ml-pre-agg-b4-production-"",""black_listed"":false}"
kafka.partition.max.files,"{""value"":""100"",""black_listed"":false}"
kafka.partition.max.memory.size,"{""value"":""100000000"",""black_listed"":false}"
kafka.password,"{""value"":""*****"",""black_listed"":false}"
