key,value
tf_id,507716
agent_tf_id,1
task_id,18609
env,default
task_name,cr-ml-b4-agg-app
app_id,4
app_name,cr-ml-b4-agg-app
app_pit,2026-09-06T07:01:46
output_name,abfss://cr-ml-pre-agg-b4@csicrprod.dfs.core.windows.net/data
tf_type,file
status,COMPLETED
start_time,2026-09-06T07:28:23.785000+00:00
end_time,2026-09-06T07:28:59.123000+00:00
duration,35.338
cnt_test_runs,2
cnt_alerts,0
cnt_breaks,0
cnt_metrics,3
tf_io_type,output
error,
description,save at FormatSparkWriter.scala:28 (InsertIntoHadoopFsRelationCommand)
