key,value
env_id,1
task_id,6986
app_pit,2026-07-20T17:01:04
task_name,cr-ml-b4-agg-app
task_type,spark
start_time,2026-07-20T17:01:05.941000+00:00
end_time,2026-07-20T17:54:33.576000+00:00
status,COMPLETED
error,
app_id,4
notification_sent,false
pipeline_run_id,4-2026-07-20 17:01:04
user_task_id,cr-ml-b4-agg-app
last_heartbeat,2026-07-20T17:53:06.516000+00:00
params_baseline_id,907
task_sub_type,
agent_task_id,1034758576209575285
tenant_id,1
parent_task_id,
retention_end_time,
app_name,cr-ml-b4-agg-app
env_name,default
task_duration,3207.635
cost,25.75278476763158
env,default
duration,3207.635
task_rnum,1
utilization,0.46906373587030975
cnt_metrics,104
cnt_test_runs,
cnt_alerts,
cnt_breaks,
cnt_tfs_completed,2
cnt_tfs_running,0
cnt_tfs_failed,0
run_insights,"{""app_id"":4,""env_id"":1,""app_pit"":""2026-07-20T17:01:04"",""task_id"":6986,""task_name"":""cr-ml-b4-agg-app"",""driver__cores"":2,""task__duration"":3207.635,""executor__cores"":5,""task__idle_time"":83.933000087738,""task__skew_time"":135,""executors__duration"":609301.2628771929,""task__metrics_count"":104,""task__total_io_bytes"":15112814924622,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-07-20T17:54:33.840244"",""executors__jvm_gc_time"":240523.196,""task__task_cpus__param"":1,""task__vcore_time__used"":2879431.484,""driver__cpu_utilization"":0.0228923172822191,""suggested_executors_max"":164,""suggested_executors_min"":132,""task__memory_time__used"":14692595.915809397,""task__tfs_count__failed"":0,""configured_max_executors"":200,""driver__memory__max_used"":2.82826709747314,""task__disk_bytes_spilled"":0,""task__tfs_count__running"":0,""driver__memory__allocated"":10,""executors__cpu_time__used"":2044810.48,""executors__run_time__used"":2879284.584,""task__idle_time_percentage"":2.616663058226325,""task__skew_time_percentage"":4.208708285076076,""task__tfs_count__completed"":2,""executor__memory__allocated"":57,""executors__retry_percentage"":0,""executors__vcore_time__used"":2879284.584,""task__vcore_time__allocated"":3052922,""driver__vcore_time_allocated"":6415.27,""executors__memory_time__used"":14683523.867278194,""task__memory_time__allocated"":34762248.334,""driver__heap_memory__max_used"":2.32675647735596,""executors__gc_time_percentage"":8.35357495874399,""driver__heap_memory__allocated"":8,""driver__memory_time__allocated"":32076.350000000002,""executors__vcores_time__unused"":2741855.6829473684,""executor__memory_heap__max_used"":45.7100503146648,""executors__tasks_duration__used"":2883234.961,""task__executor_instances__param"":200,""task__shuffle_partitions__param"":""20000"",""executor__memory_heap__allocated"":52,""executors__vcore_time__allocated"":3046505,""task__is_run_with_long_idle_time"":false,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":34730171.984,""executors__vcore_time__allocated2"":3046505,""executor__memory_off_heap__max_used"":3.42480087280273,""driver__memory_heap__suggested_value"":3,""executor__memory_off_heap__allocated"":5,""executor__memory_heap__max_percentage"":87.90394291281692,""executor__memory_heap__suggested_value"":52,""executors__cpu_utilization__percentage"":71.01800535323535,""executor__memory_off_heap__max_percentage"":68.4960174560546,""executor__memory_off_heap__suggested_value"":5,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":29.084455966949502,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":94.51107364012204}"
links,
version,3.5.7
