metric_id,asset_name,asset_type,metric_group_type,metric_type,task_name,metric_value,asset_value,count_tests,count_open_alerts,count_breaking_alerts
263,cr-ml-b4-agg-app,task,environment,num_params,cr-ml-b4-agg-app,187,,,,
265,cr-ml-b4-agg-app,task,time,duration,cr-ml-b4-agg-app,3207.635,,,,
266,cr-ml-b4-agg-app,task,resources,tasks_result_size_bytes,cr-ml-b4-agg-app,481656917,,,,
267,cr-ml-b4-agg-app,task,resources,executors_used_vcore_time,cr-ml-b4-agg-app,2879284.584,,,,
268,cr-ml-b4-agg-app,task,time,executors_shuffle_read_time,cr-ml-b4-agg-app,836531.005,,,,
269,cr-ml-b4-agg-app,task,resources,shuffle_records_written,cr-ml-b4-agg-app,38029513853,,,,
270,cr-ml-b4-agg-app,task,resources,num_spark_tasks_retries,cr-ml-b4-agg-app,0,,,,
271,cr-ml-b4-agg-app,task,resources,shuffle_bytes_read,cr-ml-b4-agg-app,7370055034480,,,,
272,cr-ml-b4-agg-app,task,resources,output_records_written,cr-ml-b4-agg-app,1099943216,,,,
273,cr-ml-b4-agg-app,task,resources,memory_bytes_spilled,cr-ml-b4-agg-app,0,,,,
274,cr-ml-b4-agg-app,task,resources,tasks_duration,cr-ml-b4-agg-app,2883234.961,,,,
275,cr-ml-b4-agg-app,task,resources,executors_run_time,cr-ml-b4-agg-app,2879284.584,,,,
276,cr-ml-b4-agg-app,task,resources,shuffle_records_read,cr-ml-b4-agg-app,38029513853,,,,
277,cr-ml-b4-agg-app,task,resources,executors_used_vcore_time_of_retried_tasks,cr-ml-b4-agg-app,0,,,,
278,cr-ml-b4-agg-app,task,resources,input_bytes_read,cr-ml-b4-agg-app,330170406000,,,,
279,cr-ml-b4-agg-app,task,resources,num_spark_stages_retries,cr-ml-b4-agg-app,0,,,,
280,cr-ml-b4-agg-app,task,resources,input_records_read,cr-ml-b4-agg-app,36393927142,,,,
281,cr-ml-b4-agg-app,task,resources,shuffle_bytes_written,cr-ml-b4-agg-app,7370055034480,,,,
282,cr-ml-b4-agg-app,task,resources,num_spark_tasks,cr-ml-b4-agg-app,65841,,,,
283,cr-ml-b4-agg-app,task,,scheduler_delay,cr-ml-b4-agg-app,383.167,,,,
284,cr-ml-b4-agg-app,task,resources,disk_bytes_spilled,cr-ml-b4-agg-app,0,,,,
285,cr-ml-b4-agg-app,task,resources,output_bytes_written,cr-ml-b4-agg-app,42534449662,,,,
286,cr-ml-b4-agg-app,task,resources,num_spark_jobs,cr-ml-b4-agg-app,9,,,,
287,cr-ml-b4-agg-app,task,,getting_result_time,cr-ml-b4-agg-app,0.03,,,,
288,cr-ml-b4-agg-app,task,resources,num_spark_stages_failures,cr-ml-b4-agg-app,0,,,,
289,cr-ml-b4-agg-app,task,resources,num_spark_stages,cr-ml-b4-agg-app,9,,,,
290,cr-ml-b4-agg-app,task,time,executors_jvm_gc_time,cr-ml-b4-agg-app,240523.196,,,,
291,cr-ml-b4-agg-app,task,resources,num_spark_tasks_failures,cr-ml-b4-agg-app,0,,,,
292,cr-ml-b4-agg-app,task,time,executors_shuffle_write_time,cr-ml-b4-agg-app,188692.493,,,,
293,cr-ml-b4-agg-app,task,,executors_serialize_time,cr-ml-b4-agg-app,3.869,,,,
294,cr-ml-b4-agg-app,task,,executors_deserialize_time,cr-ml-b4-agg-app,3563.311,,,,
295,cr-ml-b4-agg-app,task,resources,executors_python_used_cpu_time,cr-ml-b4-agg-app,0,,,,
296,cr-ml-b4-agg-app,task,resources,executor_managed_execution_memory_on_heap_max_used,cr-ml-b4-agg-app,5.81249865889549,,,,
297,cr-ml-b4-agg-app,task,resources,driver_max_off_heap_used_memory,cr-ml-b4-agg-app,1.94754409790039,,,,
298,cr-ml-b4-agg-app,task,resources,executor_max_heap_used_memory,cr-ml-b4-agg-app,45.7100503146648,,,,
299,cr-ml-b4-agg-app,task,resources,executor_cores,cr-ml-b4-agg-app,5,,,,
300,cr-ml-b4-agg-app,task,resources,broadcasts_failures,cr-ml-b4-agg-app,0,,,,
301,cr-ml-b4-agg-app,task,resources,driver_cores,cr-ml-b4-agg-app,2,,,,
302,cr-ml-b4-agg-app,task,resources,executors_java_used_cpu_time,cr-ml-b4-agg-app,2044810.48,,,,
303,cr-ml-b4-agg-app,task,resources,executors_used_cpu_time,cr-ml-b4-agg-app,2044810.48,,,,
304,cr-ml-b4-agg-app,task,resources,driver_max_heap_memory_utilization,cr-ml-b4-agg-app,0.290844559669495,,,,
305,cr-ml-b4-agg-app,task,resources,executor_managed_execution_memory_off_heap_max_used,cr-ml-b4-agg-app,0,,,,
306,cr-ml-b4-agg-app,task,resources,driver_heap_memory,cr-ml-b4-agg-app,8,,,,
307,cr-ml-b4-agg-app,task,resources,used_vcore_time,cr-ml-b4-agg-app,2879431.484,,,,
308,cr-ml-b4-agg-app,task,resources,executor_managed_storage_memory_on_heap_max_used,cr-ml-b4-agg-app,1.20684648118913,,,,
309,cr-ml-b4-agg-app,task,resources,s3_put_object_requests,cr-ml-b4-agg-app,0,,,,
310,cr-ml-b4-agg-app,task,resources,executors_vcore_time,cr-ml-b4-agg-app,3046505,,,,
311,cr-ml-b4-agg-app,task,resources,driver_max_off_heap_memory_utilization,cr-ml-b4-agg-app,0.973772048950195,,,,
312,cr-ml-b4-agg-app,task,resources,driver_jvm_gc_time_pct,cr-ml-b4-agg-app,0.0531666240751937,,,,
313,cr-ml-b4-agg-app,task,resources,fs_open_requests,cr-ml-b4-agg-app,0,,,,
314,cr-ml-b4-agg-app,task,time,skew_score,cr-ml-b4-agg-app,135,,,,
315,cr-ml-b4-agg-app,task,resources,executor_memory,cr-ml-b4-agg-app,57,,,,
316,cr-ml-b4-agg-app,task,resources,memory_time,cr-ml-b4-agg-app,34762248.334,,,,
317,cr-ml-b4-agg-app,task,resources,cached_data_max_memory_size,cr-ml-b4-agg-app,165085203000,,,,
318,cr-ml-b4-agg-app,task,resources,driver_max_heap_used_memory,cr-ml-b4-agg-app,2.32675647735596,,,,
319,cr-ml-b4-agg-app,task,resources,cached_data_max_disk_size,cr-ml-b4-agg-app,0,,,,
320,cr-ml-b4-agg-app,task,resources,vcore_time,cr-ml-b4-agg-app,3052922,,,,
321,cr-ml-b4-agg-app,task,time,definity_executors_overhead,cr-ml-b4-agg-app,458,,,,
322,cr-ml-b4-agg-app,task,resources,driver_max_memory_utilization,cr-ml-b4-agg-app,0.282826709747314,,,,
323,cr-ml-b4-agg-app,task,resources,executor_max_used_memory,cr-ml-b4-agg-app,48.445317953825,,,,
324,cr-ml-b4-agg-app,task,resources,driver_max_used_memory,cr-ml-b4-agg-app,2.82826709747314,,,,
325,cr-ml-b4-agg-app,task,resources,s3_head_object_requests,cr-ml-b4-agg-app,0,,,,
326,cr-ml-b4-agg-app,task,resources,s3_list_objects_requests,cr-ml-b4-agg-app,0,,,,
327,cr-ml-b4-agg-app,task,resources,broadcasts_count,cr-ml-b4-agg-app,1,,,,
328,cr-ml-b4-agg-app,task,resources,vcore_utilization,cr-ml-b4-agg-app,0.943172306400229,,,,
329,cr-ml-b4-agg-app,task,resources,executor_managed_on_heap_memory_max_used,cr-ml-b4-agg-app,5.81259320210665,,,,
330,cr-ml-b4-agg-app,task,resources,executor_managed_storage_memory_off_heap_max_used,cr-ml-b4-agg-app,0,,,,
331,cr-ml-b4-agg-app,task,resources,executor_managed_off_heap_memory_max_used,cr-ml-b4-agg-app,0,,,,
332,cr-ml-b4-agg-app,task,resources,fs_list_requests,cr-ml-b4-agg-app,0,,,,
