metric_id,asset_name,asset_type,metric_group_type,metric_type,task_name,metric_value,asset_value,count_tests,count_open_alerts,count_breaking_alerts
347,cr-ml-waf-dlr-agg-app,task,environment,num_params,cr-ml-waf-dlr-agg-app,192,,,,
349,cr-ml-waf-dlr-agg-app,task,time,duration,cr-ml-waf-dlr-agg-app,1214.172,,,,
350,cr-ml-waf-dlr-agg-app,task,resources,tasks_result_size_bytes,cr-ml-waf-dlr-agg-app,220666173,,,,
351,cr-ml-waf-dlr-agg-app,task,resources,executors_used_vcore_time,cr-ml-waf-dlr-agg-app,493247.813,,,,
352,cr-ml-waf-dlr-agg-app,task,time,executors_shuffle_read_time,cr-ml-waf-dlr-agg-app,481.732,,,,
353,cr-ml-waf-dlr-agg-app,task,resources,shuffle_records_written,cr-ml-waf-dlr-agg-app,7205065208,,,,
354,cr-ml-waf-dlr-agg-app,task,resources,num_spark_tasks_retries,cr-ml-waf-dlr-agg-app,0,,,,
355,cr-ml-waf-dlr-agg-app,task,resources,shuffle_bytes_read,cr-ml-waf-dlr-agg-app,1478522988895,,,,
356,cr-ml-waf-dlr-agg-app,task,resources,output_records_written,cr-ml-waf-dlr-agg-app,212946945,,,,
357,cr-ml-waf-dlr-agg-app,task,resources,memory_bytes_spilled,cr-ml-waf-dlr-agg-app,0,,,,
358,cr-ml-waf-dlr-agg-app,task,resources,tasks_duration,cr-ml-waf-dlr-agg-app,495713.912,,,,
359,cr-ml-waf-dlr-agg-app,task,resources,executors_run_time,cr-ml-waf-dlr-agg-app,493247.813,,,,
360,cr-ml-waf-dlr-agg-app,task,resources,shuffle_records_read,cr-ml-waf-dlr-agg-app,7602415941,,,,
361,cr-ml-waf-dlr-agg-app,task,resources,executors_used_vcore_time_of_retried_tasks,cr-ml-waf-dlr-agg-app,0,,,,
362,cr-ml-waf-dlr-agg-app,task,resources,input_bytes_read,cr-ml-waf-dlr-agg-app,576994075874,,,,
363,cr-ml-waf-dlr-agg-app,task,resources,num_spark_stages_retries,cr-ml-waf-dlr-agg-app,0,,,,
364,cr-ml-waf-dlr-agg-app,task,resources,input_records_read,cr-ml-waf-dlr-agg-app,3609676405,,,,
365,cr-ml-waf-dlr-agg-app,task,resources,shuffle_bytes_written,cr-ml-waf-dlr-agg-app,1383960963000,,,,
366,cr-ml-waf-dlr-agg-app,task,resources,num_spark_tasks,cr-ml-waf-dlr-agg-app,36426,,,,
367,cr-ml-waf-dlr-agg-app,task,,scheduler_delay,cr-ml-waf-dlr-agg-app,254.838,,,,
368,cr-ml-waf-dlr-agg-app,task,resources,disk_bytes_spilled,cr-ml-waf-dlr-agg-app,0,,,,
369,cr-ml-waf-dlr-agg-app,task,resources,output_bytes_written,cr-ml-waf-dlr-agg-app,6306932723,,,,
370,cr-ml-waf-dlr-agg-app,task,resources,num_spark_jobs,cr-ml-waf-dlr-agg-app,14,,,,
371,cr-ml-waf-dlr-agg-app,task,,getting_result_time,cr-ml-waf-dlr-agg-app,0.029,,,,
372,cr-ml-waf-dlr-agg-app,task,resources,num_spark_stages_failures,cr-ml-waf-dlr-agg-app,0,,,,
373,cr-ml-waf-dlr-agg-app,task,resources,num_spark_stages,cr-ml-waf-dlr-agg-app,14,,,,
374,cr-ml-waf-dlr-agg-app,task,time,executors_jvm_gc_time,cr-ml-waf-dlr-agg-app,47572.346,,,,
375,cr-ml-waf-dlr-agg-app,task,resources,num_spark_tasks_failures,cr-ml-waf-dlr-agg-app,0,,,,
376,cr-ml-waf-dlr-agg-app,task,time,executors_shuffle_write_time,cr-ml-waf-dlr-agg-app,1648.114,,,,
377,cr-ml-waf-dlr-agg-app,task,,executors_serialize_time,cr-ml-waf-dlr-agg-app,1.597,,,,
378,cr-ml-waf-dlr-agg-app,task,,executors_deserialize_time,cr-ml-waf-dlr-agg-app,2209.632,,,,
379,cr-ml-waf-dlr-agg-app,task,resources,executors_python_used_cpu_time,cr-ml-waf-dlr-agg-app,0,,,,
380,cr-ml-waf-dlr-agg-app,task,resources,executor_managed_execution_memory_on_heap_max_used,cr-ml-waf-dlr-agg-app,4.48437395691872,,,,
381,cr-ml-waf-dlr-agg-app,task,resources,driver_max_off_heap_used_memory,cr-ml-waf-dlr-agg-app,0.544361114501953,,,,
382,cr-ml-waf-dlr-agg-app,task,resources,executor_max_heap_used_memory,cr-ml-waf-dlr-agg-app,42.6544799804688,,,,
383,cr-ml-waf-dlr-agg-app,task,resources,executor_cores,cr-ml-waf-dlr-agg-app,4,,,,
384,cr-ml-waf-dlr-agg-app,task,resources,broadcasts_failures,cr-ml-waf-dlr-agg-app,0,,,,
385,cr-ml-waf-dlr-agg-app,task,resources,driver_cores,cr-ml-waf-dlr-agg-app,2,,,,
386,cr-ml-waf-dlr-agg-app,task,resources,executors_java_used_cpu_time,cr-ml-waf-dlr-agg-app,499258.06,,,,
387,cr-ml-waf-dlr-agg-app,task,resources,executors_used_cpu_time,cr-ml-waf-dlr-agg-app,499258.06,,,,
388,cr-ml-waf-dlr-agg-app,task,resources,driver_max_heap_memory_utilization,cr-ml-waf-dlr-agg-app,0.114653868600726,,,,
389,cr-ml-waf-dlr-agg-app,task,resources,executor_managed_execution_memory_off_heap_max_used,cr-ml-waf-dlr-agg-app,0,,,,
390,cr-ml-waf-dlr-agg-app,task,resources,driver_heap_memory,cr-ml-waf-dlr-agg-app,8,,,,
391,cr-ml-waf-dlr-agg-app,task,resources,used_vcore_time,cr-ml-waf-dlr-agg-app,493346.623,,,,
392,cr-ml-waf-dlr-agg-app,task,resources,executor_managed_storage_memory_on_heap_max_used,cr-ml-waf-dlr-agg-app,3.42862546723336,,,,
393,cr-ml-waf-dlr-agg-app,task,resources,s3_put_object_requests,cr-ml-waf-dlr-agg-app,0,,,,
394,cr-ml-waf-dlr-agg-app,task,resources,executors_vcore_time,cr-ml-waf-dlr-agg-app,621106,,,,
395,cr-ml-waf-dlr-agg-app,task,resources,driver_max_off_heap_memory_utilization,cr-ml-waf-dlr-agg-app,0.272180557250977,,,,
396,cr-ml-waf-dlr-agg-app,task,resources,driver_jvm_gc_time_pct,cr-ml-waf-dlr-agg-app,0.0778231243269657,,,,
397,cr-ml-waf-dlr-agg-app,task,resources,fs_open_requests,cr-ml-waf-dlr-agg-app,0,,,,
398,cr-ml-waf-dlr-agg-app,task,time,skew_score,cr-ml-waf-dlr-agg-app,0,,,,
399,cr-ml-waf-dlr-agg-app,task,resources,executor_memory,cr-ml-waf-dlr-agg-app,50,,,,
400,cr-ml-waf-dlr-agg-app,task,resources,memory_time,cr-ml-waf-dlr-agg-app,7775985.62,,,,
401,cr-ml-waf-dlr-agg-app,task,resources,cached_data_max_memory_size,cr-ml-waf-dlr-agg-app,325749378272,,,,
402,cr-ml-waf-dlr-agg-app,task,resources,driver_max_heap_used_memory,cr-ml-waf-dlr-agg-app,0.917230948805809,,,,
403,cr-ml-waf-dlr-agg-app,task,resources,cached_data_max_disk_size,cr-ml-waf-dlr-agg-app,0,,,,
404,cr-ml-waf-dlr-agg-app,task,resources,vcore_time,cr-ml-waf-dlr-agg-app,623537,,,,
405,cr-ml-waf-dlr-agg-app,task,time,definity_executors_overhead,cr-ml-waf-dlr-agg-app,199,,,,
406,cr-ml-waf-dlr-agg-app,task,resources,driver_max_memory_utilization,cr-ml-waf-dlr-agg-app,0.145336376130581,,,,
407,cr-ml-waf-dlr-agg-app,task,resources,executor_max_used_memory,cr-ml-waf-dlr-agg-app,44.7475738525391,,,,
408,cr-ml-waf-dlr-agg-app,task,resources,driver_max_used_memory,cr-ml-waf-dlr-agg-app,1.45336376130581,,,,
409,cr-ml-waf-dlr-agg-app,task,resources,s3_head_object_requests,cr-ml-waf-dlr-agg-app,0,,,,
410,cr-ml-waf-dlr-agg-app,task,resources,s3_list_objects_requests,cr-ml-waf-dlr-agg-app,0,,,,
411,cr-ml-waf-dlr-agg-app,task,resources,broadcasts_count,cr-ml-waf-dlr-agg-app,1,,,,
412,cr-ml-waf-dlr-agg-app,task,resources,vcore_utilization,cr-ml-waf-dlr-agg-app,0.791206653334125,,,,
413,cr-ml-waf-dlr-agg-app,task,resources,executor_managed_on_heap_memory_max_used,cr-ml-waf-dlr-agg-app,4.53727777022868,,,,
414,cr-ml-waf-dlr-agg-app,task,resources,executor_managed_storage_memory_off_heap_max_used,cr-ml-waf-dlr-agg-app,0,,,,
415,cr-ml-waf-dlr-agg-app,task,resources,executor_managed_off_heap_memory_max_used,cr-ml-waf-dlr-agg-app,0,,,,
416,cr-ml-waf-dlr-agg-app,task,resources,fs_list_requests,cr-ml-waf-dlr-agg-app,0,,,,
417,cr-ml-waf-dlr-agg-app,task,resources,executor_heap_memory,cr-ml-waf-dlr-agg-app,46,,,,
418,cr-ml-waf-dlr-agg-app,task,resources,driver_off_heap_memory,cr-ml-waf-dlr-agg-app,2,,,,
419,cr-ml-waf-dlr-agg-app,task,resources,executors_other_used_cpu_time,cr-ml-waf-dlr-agg-app,0,,,,
420,cr-ml-waf-dlr-agg-app,task,resources,executor_off_heap_memory,cr-ml-waf-dlr-agg-app,4,,,,
421,cr-ml-waf-dlr-agg-app,task,resources,driver_memory,cr-ml-waf-dlr-agg-app,10,,,,
422,cr-ml-waf-dlr-agg-app,task,resources,driver_cpu_utilization,cr-ml-waf-dlr-agg-app,0.0406458247634718,,,,
423,cr-ml-waf-dlr-agg-app,task,resources,executor_max_memory_utilization,cr-ml-waf-dlr-agg-app,0.894951477050781,,,,
424,cr-ml-waf-dlr-agg-app,task,time,definity_driver_overhead,cr-ml-waf-dlr-agg-app,1,,,,
425,cr-ml-waf-dlr-agg-app,task,resources,driver_jvm_gc_time,cr-ml-waf-dlr-agg-app,0.946,,,,
426,cr-ml-waf-dlr-agg-app,task,resources,s3_get_object_requests,cr-ml-waf-dlr-agg-app,0,,,,
427,cr-ml-waf-dlr-agg-app,task,resources,executor_max_heap_memory_utilization,cr-ml-waf-dlr-agg-app,0.927271303923234,,,,
428,cr-ml-waf-dlr-agg-app,task,resources,executor_max_off_heap_memory_utilization,cr-ml-waf-dlr-agg-app,0.75933837890625,,,,
