readable_name,allocated,used,cost,waste,utilization_pct,grouping_metric,metrics_conf_types,task_id,asset_name,metric_reports,units,table_order,insights
Executors vCores Usage,621106.0,493247.813,1.72529444444444,0.355161630555555,79.41443376814908,Executors vCores Usage,"[""vcore_time"",""used_vcore_time"",""used_vcore_time""]",6996,,"[{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Allocated-vCores"",""priority"":1,""bucket_size_seconds"":30,""values"":[0,0,0,0,80,384,564,568,568,568,576,576,584,592,592,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Avg-Used-By-Task"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,28,197,510,565,568,568,570,576,584,588,592,598,600,600,600,600,600,600,600,600,600,550.5,600,600,600,600,579.5,202.5,121,120,84.99999999999999,303.25,398.5,347.5,150,0,0]}]",VCore,1,"[{""type"":""captured_cost_savings"",""app_id"":5,""app_name"":""cr-ml-waf-dlr-agg-app"",""usd_cost"":null,""task_name"":""cr-ml-waf-dlr-agg-app"",""created_at"":""2026-07-16T18:31:03.221009+00:00"",""insight_id"":87,""visibility"":""debug"",""impact_cost"":17724.9432829621,""impact_unit"":""savings"",""readable_name"":""Captured Cost Savings"",""insights_payload"":{""time_bounds"":{""last_period_end"":""2026-07-16T17:08:38.695+00:00"",""first_period_end"":""2026-07-01T09:08:31.385+00:00"",""last_period_start"":""2026-06-16T17:08:38.695+00:00"",""first_period_start"":""2026-06-01T09:08:31.385+00:00""},""task_metrics"":[{""title"":""Task execution time"",""metric_ids"":[349,404,400]}],""last_period_vcore_time"":1429142031.7469351,""first_period_vcore_time"":1761514378.396799,""last_period_memory_time"":8572270400.979998,""first_period_memory_time"":10566029919.369997,""total_vcore_time_to_reduce"":332372346.64986396,""annual_vcore_seconds_impact"":3988468159.7983675,""total_memory_time_to_reduce"":1993759518.3899994,""annual_memory_seconds_impact"":23925114220.679993},""remediation_status"":null}]"
Executors vCores Breakdown,,,,,97.0,Executors vCores Breakdown,"[""executors_used_cpu_time"",""executors_shuffle_read_time"",""executors_jvm_gc_time"",""executors_shuffle_write_time"",""executors_used_vcore_time""]",6996,,"[{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Executors-Used-vCore-Time"",""priority"":1,""bucket_size_seconds"":30,""values"":[0,0,0,0,11308,2808547,13858507,17405833,16855065,17412217,16797593,17832465,17234400,17361198,18057899,17917380,17899098,17928747,18121614,18187884,17822672,17877900,17974680,18103458,18413706,9530868,0,0,0,0,50231445,47254121,609895,0,12069852,4406511,21590538,8912950,2759462,0,0]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Executors-GC-Time"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,62,256325,1320789,1738959,1640341,1672411,1476730,1550431,1435690,1434917,1529828,1435530,1387684,1383987,1410744,1392743,1303649,1348844,1360411,1413205,1355044,590137,0,0,0,0,6489674,6295171,64003,0,1073762,662739,4415577,130734,2225,0,0]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Executors-Shuffle-Read-Time"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,406,0,0,0,3743,50465,423933,2953,0,0]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Executors-Shuffle-Write-Time"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,4166.9884969999985,24065.001765000015,29237.70958599999,26186.359622000033,30983.313782000005,33326.650618999985,36418.59693999999,34789.012877000045,34552.91284699996,36517.55343300007,35748.726384999936,36585.85191200001,36813.74708600004,37234.43078299997,36986.55785199998,36358.08724199995,38475.77456100003,40949.302839999975,37013.19260899995,36977.47751599999,17550.28348999999,0,0,0,0,164206.26432199986,340328.2819670001,1536.6473660000001,0,20229.882023,10378.868919,374311.2411490002,72394.32040899999,920.4764440000002,0,0]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Executors-Used-CPU-Time"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,3043400.0000000005,11875790.000000002,16923930.000000015,16399300.000000007,16729870.000000002,16115090.000000022,16508469.99999991,16288919.999999985,16473240.00000006,16604179.99999997,16877569.99999994,16770990.000000091,16940709.99999994,16798100.00000015,17065569.99999991,16733710.000000179,17075469.99999991,16813149.99999985,17290640.00000018,16837099.99999976,15673030.00000012,19076370.00000018,20867010.00000006,20364189.999999583,20689840.00000012,20638319.99999982,14476370.000000477,4859289.999999583,4176979.9999999995,4421650.000000119,5038630.00000006,18017720.00000012,6843409.99999994,7238180.000000119,589690,7169.999999761581]}]",ms,2,[]
Executors Memory Usage,7763843.9,2701173.0710071237,2.15662330555556,1.40629745249802,34.7916973318735,Executors Memory Usage,"[""executor_memory"",""executor_max_used_heap_memory"",""executor_max_used_memory"",""executor_heap_memory""]",6996,,"[{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Allocated-Heap"",""priority"":0,""bucket_size_seconds"":30,""values"":[49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Max-Used-Heap-Memory"",""priority"":0,""bucket_size_seconds"":30,""values"":[0,0,0,0,8458208768,31277880320,36374568096,35868309584,42879854080,42077032960,43034808832,44648576000,43351620096,44023180800,41487954096,44131760128,45799899136,43921851904,45589056000,45591071232,42075522560,42109844992,43231795200,39502389248,38218803712,37917099008,27721040040,31366425920,32256310016,33357433232,41288728576,43067113472,38966125008,38999679440,39066788304,40345282200,39203432248,38465962496,40512886368,40403933736,40471042600]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Allocated"",""priority"":1,""bucket_size_seconds"":30,""values"":[53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200,53687091200]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Avg-Used-Memory"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,1697015539.272727,3044396900.3243246,6549618596.490562,13468789816.07729,19705304839.963306,22481349487.961544,19669682949.38181,21072903271.698116,25464883891.428577,24443862954.48147,21407759440.52631,22861408434.218197,26419098738.15653,24826383058.181805,21223008011.20001,21247480301.45452,20784083645.49566,20694115682.47272,20073416898.50434,20038457586.509098,21170039541.947838,19831315781.709084,17745206447.860897,21533390971.345444,24069955746.46959,26200788895.92724,32568097787.91266,26834269823.601818,25586772660.262,25268100029.46606,26891668202.305668,23788230276.7421,22385675514.794754,24162954584.181004,25398194700.192158,25457426658.71494,25966268831.836746]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Max-Used-Memory"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,8458208768,31277880320,36374568096,35868309584,42879854080,42077032960,43276800512,46746444800,45467539968,46206266880,43608572080,46342371328,48047341568,46205183488,47808453120,47808125440,44305073664,44367076864,45403539456,41776275456,40545823232,40162505728,30542061736,34253102400,35232074496,36219333008,44010237952,45691723776,41821544912,41854341584,41921585616,43055167128,42025510712,41286517248,43517617760,43385236008,43452140072]}]",Bytes,3,"[{""type"":""orphaned_machine_vcores"",""app_id"":5,""app_name"":""cr-ml-waf-dlr-agg-app"",""usd_cost"":21206.5667609974,""task_name"":""cr-ml-waf-dlr-agg-app"",""created_at"":""2026-07-16T18:31:03.095909+00:00"",""insight_id"":85,""visibility"":""visible"",""impact_cost"":7634364033.95907,""impact_unit"":""VCore"",""readable_name"":""Orphaned vCores in Machine"",""insights_payload"":{""stale_vcores"":4,""task_metrics"":[{""title"":""Executors memory usage"",""metric_ids"":[399,407]}],""cnt_task_runs"":796,""machine_vcores"":8,""time_span_days"":30,""executor__cores"":4,""shuffle_partitions"":""720"",""executor__memory__allocated"":50,""total_wasted_vcore_time_unused"":741813318.7469331,""tenant_machine_memory_to_vcore_ratio"":6.0,""executor__memory_off_heap__max_percentage"":98.79440748691563},""remediation_status"":null}]"
Executor Heap Memory Breakdown,,,,,10.637283052814778,Executor Heap Memory Breakdown,"[""executor_managed_execution_memory_on_heap_max_used"",""executor_max_used_heap_memory"",""executor_heap_memory"",""executor_managed_storage_memory_on_heap_max_used""]",6996,,"[{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Used-Execution-Memory"",""priority"":0,""bucket_size_seconds"":30,""values"":[0,0,0,0,131072,549453696,822083392,480280464,478707600,478445456,413171616,412123040,274792384,547389312,342917040,412123040,341901232,343998384,341901232,413171616,411107232,274792384,272695232,341901232,206634960,272662464,131072,131072,131072,131072,3103817008,4815059872,1241513696,131072,1451228848,0,1442840240,2655023348,134741984,0,0]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Used-Storage-Memory"",""priority"":0,""bucket_size_seconds"":30,""values"":[0,0,0,0,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,247293,15336218,15336218,15336218,15088925,15088925,15088925,15088925,15088925,15088925,15088925,1045371095,3395071920,3393364040,3681458563,3681037126,3681037126]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Allocated Heap"",""priority"":1,""bucket_size_seconds"":30,""values"":[49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904,49392123904]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Max-Used-Heap-Memory"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,8458208768,31277880320,36374568096,35868309584,42879854080,42077032960,43034808832,44648576000,43351620096,44023180800,41487954096,44131760128,45799899136,43921851904,45589056000,45591071232,42075522560,42109844992,43231795200,39502389248,38218803712,37917099008,27721040040,31366425920,32256310016,33357433232,41288728576,43067113472,38966125008,38999679440,39066788304,40345282200,39203432248,38465962496,40512886368,40403933736,40471042600]}]",Bytes,5,[]
Executor Off-Heap Memory Breakdown,,,,,69.95935440063477,Executor Off-Heap Memory Breakdown,,6996,,"[{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Allocated Off-Heap"",""priority"":1,""bucket_size_seconds"":30,""values"":[4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Max-Used Off-Heap"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,0,0,0,241991680,2097868800,2115919872,2183086080,2120617984,2210611200,2247442432,2283331584,2219397120,2217054208,2229551104,2257231872,2171744256,2273886208,2327019520,2245406720,2821021696,2886676480,2975764480,2861899776,2721509376,2624610304,2855419904,2854662144,2854797312,2709884928,2822078464,2820554752,3004731392,2981302272,2981097472]}]",Bytes,6,[]
Driver Memory Usage,12141.720000000001,1764.6335847921978,0.0033727,0.00288252400422439,14.533637613058097,Driver Memory Usage,"[""driver_memory"",""driver_heap_memory""]",6996,,"[{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Allocated-Heap"",""priority"":0,""bucket_size_seconds"":30,""values"":[8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592,8589934592]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Used-Heap"",""priority"":0,""bucket_size_seconds"":30,""values"":[0,380150272,489202176,589865472,568941568,657021952,600923472,597274776,614904256,629364720,641219416,678480384,683872248,696575648,709151064,606066936,706132632,682116400,641106000,660025808,685751952,716904576,679247248,682402312,748706432,861770032,954044720,598001736,761579592,920963144,971294792,658048512,681653088,803287904,941699936,750178520,972476632,946565640,758376816,984869232,533504304]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Allocated"",""priority"":1,""bucket_size_seconds"":30,""values"":[10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240,10737418240]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Used"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,831312384,941519360,1042309632,1068944384,1158585344,1105440080,1107390616,1126683072,1141782512,1154767704,1192696320,1198284792,1211238048,1224051032,1121380600,1221499544,1197716784,1156857936,1176052176,1202761360,1234966656,1198062992,1202426376,1269000832,1403834672,1496285488,1143846984,1307433032,1466918984,1517369416,1204020736,1228415840,1350259552,1488741216,1299001560,1521905880,1503826440,1327946096,1560537456,1118007600]}]",Bytes,8,[]
Driver vCores Usage,2428.344,98.70204468942816,0.0067454,0.00647122765364048,4.06458247634718,Driver vCores Usage,"[""driver_jvm_gc_time"",""driver_cpu_utilization""]",6996,,"[{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Allocated-vCores"",""priority"":1,""bucket_size_seconds"":30,""values"":[60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""GC-Time"",""priority"":1,""bucket_size_seconds"":30,""values"":[0,0,0,17,84,11,20,17,18,18,18,18,18,23,20,19,20,23,29,25,28,22,36,25,27,39,7,6,0,0,15,5,0,0,0,19,27,40,26,15,3]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Used-CPU"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,780.0000000000036,1299.9999999999964,5270,2500,3519.9999999999927,2330.0000000000073,2400,1720,2100,1580,1589.9999999999927,1540.0000000000073,1529.9999999999927,1500,1670.0000000000073,1589.9999999999927,2120.0000000000073,1790,1990.000000000007,1870.0000000000073,2019.9999999999854,1570,1980,4090.0000000000005,680,890,530,590,970.0000000000001,1280,440,440,410.00000000001455,1459.9999999999854,2540.0000000000146,4530,4360,3250,149.99999999998545]}]",ms,9,[]
IO Bytes,,,,,97.0,IO Bytes,"[""shuffle_bytes_written"",""input_bytes_read"",""shuffle_bytes_read"",""output_bytes_written""]",6996,,"[{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Input-Bytes-Read"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298364940700,219756253446,58872881728,0,0]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Output-Bytes-Written"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6306932723,0,0]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Shuffle-Bytes-Read"",""priority"":3,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474236286495,412499078370,4589252286,0,145408391036,55427195854,274991497994,94556493506,16814793354,0,0]},{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Shuffle-Bytes-Written"",""priority"":3,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,6412217131,33756849582,50707645645,51328173326,52942428559,52551694150,56392099635,55088244344,55217762490,57065560128,57613147892,58868368201,57955282260,57991608257,58398718685,58217868353,56496933569,55049869599,54441090349,55765540121,27510749397,0,0,0,0,91593733064,78226095445,854744640,0,27878322195,6259455495,54272531788,55032833607,71395093,0,0]}]",Bytes,10,[]
Cached Data,,,,,0.0,Cached Data,"[""cached_data_max_memory_size""]",6996,,"[{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Memory-Size"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292720916048,296312937408,325749378272,325749378272,325749378272]}]",Bytes,12,[]
Tasks,,,,,0.0,Tasks,"[""num_spark_tasks""]",6996,,"[{""start_time_ms"":1784570918804,""kind"":""gauge"",""line_name"":""Active-Tasks"",""priority"":3,""bucket_size_seconds"":30,""values"":[0,0,0,0,98,486,997,1309,1341,1406,1421,1543,1516,1539,1595,1629,1668,1650,1667,1689,1697,1666,1643,1655,1791,1084,600,600,600,600,663,164,121,120,89,679,1481,2160,901,0,0]}]",,14,[]
