task_id,event_id,start_time_ms,end_time_ms,category,sub_category,name,description,payload
6996,4,1784571047985,1784571050145,spark_execution,stage,Stage 1,"$anonfun$withThreadLocalCaptured$1 at FutureTask.java:264 - attempt=0, id=1, jobId=1, numTasks=8, partitions=8, rootTfId=0, status=succeeded, tfId=0","{""id"":1,""tfId"":0,""jobId"":1,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":44,""internal.metrics.resultSize"":3228625,""internal.metrics.executorCpuTime"":3197325800,""internal.metrics.executorRunTime"":10985,""internal.metrics.executorDeserializeTime"":3546,""internal.metrics.resultSerializationTime"":4,""internal.metrics.executorDeserializeCpuTime"":1214988600},""numTasks"":8,""rootTfId"":0,""partitions"":8,""taskMetricsDistributions"":{""duration"":[1617.0,1620.0,2106.0,2150.0,2155.0],""jvmGcTime"":[0.0,0.0,11.0,11.0,11.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[58.0,63.0,77.0,82.0,91.0],""executorRunTime"":[1325.0,1333.0,1400.0,1415.0,1419.0],""gettingResultTime"":[0.0,0.0,0.0,0.0,29.0],""executorDeserializeTime"":[228.0,229.0,658.0,658.0,658.0],""resultSerializationTime"":[0.0,0.0,0.0,1.0,3.0]}}"
6996,5,1784571048170,1784571684273,spark_execution,stage,Stage 2,"first at WafDlrFeedAggApp.scala:340 - attempt=0, id=2, jobId=2, numTasks=30475, partitions=30475, rootTfId=0, status=succeeded, tfId=0","{""id"":2,""tfId"":0,""jobId"":2,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":28438399,""internal.metrics.resultSize"":162108960,""internal.metrics.executorCpuTime"":271329776248800,""internal.metrics.executorRunTime"":345401731,""internal.metrics.input.recordsRead"":3609529321,""internal.metrics.peakExecutionMemory"":5245675525984,""internal.metrics.executorDeserializeTime"":1936726,""internal.metrics.resultSerializationTime"":964,""internal.metrics.shuffle.write.writeTime"":680937532244,""internal.metrics.executorDeserializeCpuTime"":660101164500,""internal.metrics.shuffle.write.bytesWritten"":1069771851673,""internal.metrics.shuffle.write.recordsWritten"":4271984332},""numTasks"":30475,""rootTfId"":0,""partitions"":30475,""taskMetricsDistributions"":{""duration"":[490.0,10452.0,11113.0,11911.0,31701.0],""jvmGcTime"":[0.0,699.0,893.0,1157.0,2472.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,3.0,4.0,4.0,217.0],""executorRunTime"":[483.0,10443.0,11105.0,11902.0,27422.0],""peakExecutionMemory"":[67141616.0,138412000.0,205520848.0,205520848.0,205520848.0],""executorDeserializeTime"":[2.0,3.0,4.0,5.0,5163.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,176.0],""inputMetrics_recordsRead"":[57.0,112225.0,117333.0,124817.0,161319.0],""shuffleWriteMetrics_writeBytes"":[36629.0,33840324.0,35406993.0,36987486.0,43207714.0],""shuffleWriteMetrics_writeRecords"":[77.0,134918.0,141371.0,147799.0,173115.0]}}"
6996,6,1784571684835,1784571979698,spark_execution,stage,Stage 4,"first at WafDlrFeedAggApp.scala:340 - attempt=0, id=4, jobId=3, numTasks=720, parentStages=(3), partitions=720, rootTfId=0, status=succeeded, tfId=0","{""id"":4,""tfId"":0,""jobId"":3,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":14250742,""internal.metrics.resultSize"":5873242,""internal.metrics.executorCpuTime"":93936052540400,""internal.metrics.executorRunTime"":113166430,""internal.metrics.peakExecutionMemory"":893889861120,""internal.metrics.executorDeserializeTime"":43041,""internal.metrics.resultSerializationTime"":437,""internal.metrics.shuffle.write.writeTime"":536679944597,""internal.metrics.shuffle.read.recordsRead"":4271984332,""internal.metrics.executorDeserializeCpuTime"":14448880500,""internal.metrics.shuffle.read.fetchWaitTime"":646,""internal.metrics.shuffle.write.bytesWritten"":204812350839,""internal.metrics.shuffle.read.localBytesRead"":7160153585,""internal.metrics.shuffle.read.remoteBytesRead"":1062611698088,""internal.metrics.shuffle.write.recordsWritten"":859006296,""internal.metrics.shuffle.read.localBlocksFetched"":146838,""internal.metrics.shuffle.read.remoteReqsDuration"":16427659,""internal.metrics.shuffle.read.remoteBlocksFetched"":21793110},""numTasks"":720,""rootTfId"":0,""partitions"":720,""parentStages"":""(3)"",""taskMetricsDistributions"":{""duration"":[102318.0,150392.0,160992.0,167653.0,210816.0],""jvmGcTime"":[5052.0,18995.0,20787.0,22262.0,28364.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[3.0,12.0,18.0,23.0,256.0],""executorRunTime"":[102307.0,150320.0,160898.0,167573.0,210739.0],""peakExecutionMemory"":[1241513696.0,1241513696.0,1241513696.0,1241513696.0,1241513696.0],""executorDeserializeTime"":[4.0,53.0,65.0,78.0,122.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,263.0],""shuffleReadMetrics_readBytes"":[1403128515.0,1466298792.0,1485916147.0,1504780890.0,1599193604.0],""shuffleReadMetrics_readRecords"":[5669064.0,5873673.0,5930162.0,5994344.0,6178130.0],""shuffleWriteMetrics_writeBytes"":[283579692.0,284274375.0,284462916.0,284651177.0,285250162.0],""shuffleWriteMetrics_writeRecords"":[1189312.0,1192360.0,1193030.0,1193770.0,1196316.0]}}"
6996,7,1784571979774,1784572019657,spark_execution,stage,Stage 7,"first at WafDlrFeedAggApp.scala:340 - attempt=0, id=7, jobId=4, numTasks=720, parentStages=(6), partitions=720, rootTfId=0, status=succeeded, tfId=0","{""id"":7,""tfId"":0,""jobId"":4,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":3607647,""internal.metrics.resultSize"":6161932,""internal.metrics.executorCpuTime"":8719995375500,""internal.metrics.executorRunTime"":14652054,""internal.metrics.executorDeserializeTime"":85326,""internal.metrics.resultSerializationTime"":4,""internal.metrics.shuffle.read.recordsRead"":859006296,""internal.metrics.executorDeserializeCpuTime"":25149272100,""internal.metrics.shuffle.read.fetchWaitTime"":39482,""internal.metrics.shuffle.read.localBytesRead"":1399113574,""internal.metrics.shuffle.read.remoteBytesRead"":203413237265,""internal.metrics.shuffle.read.localBlocksFetched"":3542,""internal.metrics.shuffle.read.remoteReqsDuration"":30866629,""internal.metrics.shuffle.read.remoteBlocksFetched"":514858},""numTasks"":720,""rootTfId"":0,""partitions"":720,""parentStages"":""(6)"",""taskMetricsDistributions"":{""duration"":[15339.0,18871.0,20871.0,22280.0,25748.0],""jvmGcTime"":[3235.0,4419.0,5187.0,5602.0,7118.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,12.0,40.0,47.0,321.0],""executorRunTime"":[15330.0,18684.0,20712.0,22119.0,25570.0],""executorDeserializeTime"":[5.0,98.0,113.0,132.0,1432.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,1.0],""shuffleReadMetrics_readBytes"":[274827485.0,280212664.0,282508313.0,285621829.0,424608481.0],""shuffleReadMetrics_readRecords"":[1180730.0,1189983.0,1193210.0,1196085.0,1210979.0]}}"
6996,8,1784571979861,1784572030209,spark_execution,stage,Stage 8,"first at WafDlrFeedAggApp.scala:340 - attempt=0, id=8, jobId=5, numTasks=720, parentStages=(6), partitions=720, rootTfId=0, status=succeeded, tfId=0","{""id"":8,""tfId"":0,""jobId"":5,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":1171112,""internal.metrics.resultSize"":5891591,""internal.metrics.executorCpuTime"":3611760697700,""internal.metrics.executorRunTime"":7021562,""internal.metrics.input.bytesRead"":110889200940,""internal.metrics.executorDeserializeTime"":27239,""internal.metrics.shuffle.read.recordsRead"":397350733,""internal.metrics.executorDeserializeCpuTime"":6588590300,""internal.metrics.shuffle.read.fetchWaitTime"":14718,""internal.metrics.shuffle.read.localBytesRead"":617388949,""internal.metrics.shuffle.read.remoteBytesRead"":93944636946,""internal.metrics.shuffle.read.localBlocksFetched"":1566,""internal.metrics.shuffle.read.remoteReqsDuration"":5649460,""internal.metrics.shuffle.read.remoteBlocksFetched"":238194},""numTasks"":720,""rootTfId"":0,""partitions"":720,""parentStages"":""(6)"",""taskMetricsDistributions"":{""duration"":[13.0,4289.0,9690.0,15281.0,24836.0],""jvmGcTime"":[0.0,355.0,954.0,3038.0,6032.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,3.0,3.0,4.0,129.0],""executorRunTime"":[0.0,4277.0,9681.0,15272.0,24821.0],""inputMetrics_bytesRead"":[0.0,0.0,255686642.0,267541916.0,1419941423.0],""executorDeserializeTime"":[5.0,7.0,9.0,12.0,1243.0],""shuffleReadMetrics_readBytes"":[0.0,0.0,0.0,282126640.0,345664277.0],""shuffleReadMetrics_readRecords"":[0.0,0.0,0.0,1192838.0,1201861.0]}}"
6996,9,1784572019699,1784572036731,spark_execution,stage,Stage 9,"first at WafDlrFeedAggApp.scala:340 - attempt=0, id=9, jobId=6, numTasks=720, parentStages=(6), partitions=720, rootTfId=0, status=succeeded, tfId=0","{""id"":9,""tfId"":0,""jobId"":6,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":13059,""internal.metrics.resultSize"":6647187,""internal.metrics.executorCpuTime"":823674791700,""internal.metrics.executorRunTime"":2035937,""internal.metrics.input.bytesRead"":203613234938,""internal.metrics.input.recordsRead"":50740,""internal.metrics.peakExecutionMemory"":263570958832,""internal.metrics.executorDeserializeTime"":13964,""internal.metrics.shuffle.write.writeTime"":403418979155,""internal.metrics.executorDeserializeCpuTime"":8777475600,""internal.metrics.shuffle.write.bytesWritten"":58832687088,""internal.metrics.shuffle.write.recordsWritten"":212948143},""numTasks"":720,""rootTfId"":0,""partitions"":720,""parentStages"":""(6)"",""taskMetricsDistributions"":{""duration"":[734.0,1436.0,1976.0,2684.0,15552.0],""jvmGcTime"":[0.0,0.0,0.0,0.0,390.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,4.0,13.0,18.0,34.0],""executorRunTime"":[725.0,1398.0,1938.0,2643.0,15543.0],""peakExecutionMemory"":[343932848.0,343932848.0,343932848.0,343932848.0,1503102520.0],""inputMetrics_bytesRead"":[252489152.0,260669358.0,266665608.0,279189880.0,1420123904.0],""executorDeserializeTime"":[5.0,10.0,22.0,24.0,180.0],""inputMetrics_recordsRead"":[68.0,70.0,70.0,71.0,75.0],""shuffleWriteMetrics_writeBytes"":[78031272.0,79070538.0,79788578.0,81039344.0,218343844.0],""shuffleWriteMetrics_writeRecords"":[293862.0,295377.0,295763.0,296124.0,297686.0]}}"
6996,10,1784572030288,1784572041737,spark_execution,stage,Stage 10,"first at WafDlrFeedAggApp.scala:340 - attempt=0, id=10, jobId=7, numTasks=720, parentStages=(6), partitions=720, rootTfId=0, status=succeeded, tfId=0","{""id"":10,""tfId"":0,""jobId"":7,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":11955,""internal.metrics.resultSize"":6965303,""internal.metrics.executorCpuTime"":1229472426300,""internal.metrics.executorRunTime"":1678577,""internal.metrics.input.bytesRead"":203618758268,""internal.metrics.input.recordsRead"":50744,""internal.metrics.peakExecutionMemory"":362387796480,""internal.metrics.executorDeserializeTime"":24510,""internal.metrics.shuffle.write.writeTime"":27957897950,""internal.metrics.executorDeserializeCpuTime"":11841586600,""internal.metrics.shuffle.write.bytesWritten"":22779121251,""internal.metrics.shuffle.write.recordsWritten"":1054234314},""numTasks"":720,""rootTfId"":0,""partitions"":720,""parentStages"":""(6)"",""taskMetricsDistributions"":{""duration"":[944.0,1860.0,2031.0,2309.0,9566.0],""jvmGcTime"":[0.0,0.0,0.0,27.0,125.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,11.0,31.0,35.0,44.0],""executorRunTime"":[935.0,1791.0,1957.0,2231.0,9554.0],""peakExecutionMemory"":[503316384.0,503316384.0,503316384.0,503316384.0,503316384.0],""inputMetrics_bytesRead"":[252489152.0,260666881.0,266666139.0,279189880.0,1420123904.0],""executorDeserializeTime"":[5.0,27.0,31.0,41.0,467.0],""inputMetrics_recordsRead"":[68.0,70.0,70.0,71.0,75.0],""shuffleWriteMetrics_writeBytes"":[31455261.0,31597569.0,31637846.0,31677407.0,31837504.0],""shuffleWriteMetrics_writeRecords"":[1455180.0,1462315.0,1464239.0,1466072.0,1473872.0]}}"
6996,11,1784572041824,1784572045093,spark_execution,stage,Stage 14,"first at WafDlrFeedAggApp.scala:340 - attempt=0, id=14, jobId=8, numTasks=720, parentStages=(13), partitions=720, rootTfId=0, status=succeeded, tfId=0","{""id"":14,""tfId"":0,""jobId"":8,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":10298,""internal.metrics.resultSize"":8840551,""internal.metrics.executorCpuTime"":1216456766600,""internal.metrics.executorRunTime"":1307614,""internal.metrics.peakExecutionMemory"":350308200960,""internal.metrics.executorDeserializeTime"":26265,""internal.metrics.shuffle.write.writeTime"":5896748075,""internal.metrics.shuffle.read.recordsRead"":1054234314,""internal.metrics.executorDeserializeCpuTime"":9393839400,""internal.metrics.shuffle.read.fetchWaitTime"":20,""internal.metrics.shuffle.write.bytesWritten"":11620604299,""internal.metrics.shuffle.read.localBytesRead"":153330668,""internal.metrics.shuffle.read.remoteBytesRead"":22625790583,""internal.metrics.shuffle.write.recordsWritten"":593944878,""internal.metrics.shuffle.read.localBlocksFetched"":3490,""internal.metrics.shuffle.read.remoteReqsDuration"":7520336,""internal.metrics.shuffle.read.remoteBlocksFetched"":514910},""numTasks"":720,""rootTfId"":0,""partitions"":720,""parentStages"":""(13)"",""taskMetricsDistributions"":{""duration"":[999.0,1813.0,1938.0,2046.0,2357.0],""jvmGcTime"":[0.0,0.0,0.0,11.0,137.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[1.0,9.0,15.0,21.0,64.0],""executorRunTime"":[989.0,1745.0,1870.0,1991.0,2328.0],""peakExecutionMemory"":[486539168.0,486539168.0,486539168.0,486539168.0,486539168.0],""executorDeserializeTime"":[5.0,12.0,16.0,41.0,309.0],""shuffleReadMetrics_readBytes"":[31378328.0,31576125.0,31639453.0,31698989.0,31919811.0],""shuffleReadMetrics_readRecords"":[1450671.0,1461194.0,1464348.0,1467014.0,1477383.0],""shuffleWriteMetrics_writeBytes"":[16089210.0,16127785.0,16139413.0,16152022.0,16190291.0],""shuffleWriteMetrics_writeRecords"":[822541.0,824383.0,824902.0,825514.0,827289.0]}}"
6996,13,1784572045454,1784572060610,spark_execution,stage,Stage 20,"first at WafDlrFeedAggApp.scala:340 - attempt=0, id=20, jobId=9, numTasks=720, parentStages=(18, 19), partitions=720, rootTfId=0, status=succeeded, tfId=0","{""id"":20,""tfId"":0,""jobId"":9,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":67492,""internal.metrics.resultSize"":11229651,""internal.metrics.executorCpuTime"":3862409195600,""internal.metrics.executorRunTime"":5256459,""internal.metrics.peakExecutionMemory"":630320819520,""internal.metrics.executorDeserializeTime"":23249,""internal.metrics.resultSerializationTime"":8,""internal.metrics.shuffle.write.writeTime"":9457272879,""internal.metrics.shuffle.read.recordsRead"":806893021,""internal.metrics.executorDeserializeCpuTime"":13357664000,""internal.metrics.shuffle.read.fetchWaitTime"":426866,""internal.metrics.shuffle.write.bytesWritten"":16140559317,""internal.metrics.shuffle.read.localBytesRead"":1092750313,""internal.metrics.shuffle.read.remoteBytesRead"":69360541074,""internal.metrics.shuffle.write.recordsWritten"":212946945,""internal.metrics.shuffle.read.localBlocksFetched"":7060,""internal.metrics.shuffle.read.remoteReqsDuration"":70104071,""internal.metrics.shuffle.read.remoteBlocksFetched"":1029740},""numTasks"":720,""rootTfId"":0,""partitions"":720,""parentStages"":""(18, 19)"",""taskMetricsDistributions"":{""duration"":[3277.0,7200.0,7869.0,8297.0,15141.0],""jvmGcTime"":[0.0,43.0,80.0,129.0,351.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,12.0,18.0,23.0,36.0],""executorRunTime"":[3258.0,7151.0,7810.0,8225.0,15081.0],""peakExecutionMemory"":[851443520.0,851443520.0,851443520.0,851443520.0,2077722036.0],""executorDeserializeTime"":[8.0,31.0,33.0,35.0,135.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,8.0],""shuffleReadMetrics_readBytes"":[92705463.0,94997586.0,95863733.0,97491460.0,235454002.0],""shuffleReadMetrics_readRecords"":[1111321.0,1118157.0,1120715.0,1123066.0,1135099.0],""shuffleWriteMetrics_writeBytes"":[21791679.0,22271208.0,22410398.0,22552441.0,23832113.0],""shuffleWriteMetrics_writeRecords"":[289475.0,294412.0,295704.0,297144.0,304479.0]}}"
6996,14,1784572060627,1784572065608,spark_execution,stage,Stage 27,"first at WafDlrFeedAggApp.scala:340 - attempt=0, id=27, jobId=10, numTasks=300, parentStages=(26), partitions=300, rootTfId=0, status=succeeded, tfId=0","{""id"":27,""tfId"":0,""jobId"":10,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":314,""internal.metrics.resultSize"":1112318,""internal.metrics.executorCpuTime"":925753038600,""internal.metrics.executorRunTime"":929964,""internal.metrics.executorDeserializeTime"":3495,""internal.metrics.shuffle.read.recordsRead"":212946945,""internal.metrics.executorDeserializeCpuTime"":617301600,""internal.metrics.shuffle.read.localBytesRead"":107611209,""internal.metrics.shuffle.read.remoteBytesRead"":16032948108,""internal.metrics.shuffle.read.localBlocksFetched"":1440,""internal.metrics.shuffle.read.remoteReqsDuration"":4563413,""internal.metrics.shuffle.read.remoteBlocksFetched"":214560},""numTasks"":300,""rootTfId"":0,""partitions"":300,""parentStages"":""(26)"",""taskMetricsDistributions"":{""duration"":[2732.0,3005.0,3078.0,3200.0,4971.0],""jvmGcTime"":[0.0,0.0,0.0,0.0,30.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[6.0,9.0,11.0,13.0,18.0],""executorRunTime"":[2709.0,2986.0,3054.0,3172.0,4958.0],""executorDeserializeTime"":[3.0,5.0,6.0,8.0,252.0],""shuffleReadMetrics_readBytes"":[53547203.0,53760632.0,53805554.0,53840425.0,53996947.0],""shuffleReadMetrics_readRecords"":[707049.0,709302.0,709860.0,710347.0,711952.0]}}"
