key,value
env_id,1
task_id,7095
app_pit,2026-07-21T06:02:07
task_name,polaris-bhv4-100
task_type,spark
start_time,2026-07-21T06:02:09.329000+00:00
end_time,2026-07-21T06:39:41.905000+00:00
status,COMPLETED
error,
app_id,2
notification_sent,false
pipeline_run_id,2-2026-07-21 06:02:07
user_task_id,polaris-bhv4-100
last_heartbeat,2026-07-21T06:38:09.801000+00:00
params_baseline_id,73
task_sub_type,
agent_task_id,610571762
tenant_id,1
parent_task_id,
retention_end_time,
app_name,polaris-bhv4-100
env_name,default
task_duration,2252.576
cost,8.32252369458334
env,default
duration,2252.576
task_rnum,1
utilization,0.5164397091282261
cnt_metrics,89
cnt_test_runs,10
cnt_alerts,0
cnt_breaks,0
cnt_tfs_completed,8
cnt_tfs_running,0
cnt_tfs_failed,0
run_insights,"{""app_id"":2,""env_id"":1,""app_pit"":""2026-07-21T06:02:07"",""task_id"":7095,""task_name"":""polaris-bhv4-100"",""driver__cores"":4,""task__duration"":2252.576,""executor__cores"":6,""task__idle_time"":111.936000108719,""task__skew_time"":123,""task__alerts_count"":0,""task__breaks_count"":0,""executors__duration"":233261.027125,""task__metrics_count"":89,""task__total_io_bytes"":28432491635040,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-07-21T06:39:42.150944"",""executors__jvm_gc_time"":3341.766,""task__task_cpus__param"":1,""task__tests_runs_count"":10,""task__vcore_time__used"":1086898.969,""suggested_executors_max"":73,""suggested_executors_min"":58,""task__memory_time__used"":4604104.487756186,""task__tfs_count__failed"":0,""configured_max_executors"":120,""driver__memory__max_used"":2.48286055773497,""task__disk_bytes_spilled"":0,""task__tfs_count__running"":0,""driver__memory__allocated"":6,""executors__cpu_time__used"":618360.04,""task__idle_time_percentage"":4.969244105802379,""task__skew_time_percentage"":5.46041509809214,""task__tfs_count__completed"":8,""executor__memory__allocated"":48,""executors__retry_percentage"":0,""executors__vcore_time__used"":1077881.969,""task__vcore_time__allocated"":1408582,""driver__vcore_time_allocated"":9010.304,""executors__memory_time__used"":4598511.655652486,""task__memory_time__allocated"":11210044.758,""driver__heap_memory__max_used"":1.67239617556334,""executors__gc_time_percentage"":0.3100307915068204,""driver__heap_memory__allocated"":4,""driver__memory_time__allocated"":13515.456,""executors__vcores_time__unused"":466522.05425,""executor__memory_heap__max_used"":38.2707219868898,""task__executor_instances__param"":120,""task__shuffle_partitions__param"":""200"",""executor__memory_heap__allocated"":40,""executors__vcore_time__allocated"":1399564,""task__is_run_with_long_idle_time"":false,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":11196529.302,""executors__vcore_time__allocated2"":1399564,""executor__memory_off_heap__max_used"":4.09763336181641,""driver__memory_heap__suggested_value"":3,""executor__memory_off_heap__allocated"":8,""executor__memory_heap__max_percentage"":95.6768049672245,""executor__memory_heap__suggested_value"":40,""executors__cpu_utilization__percentage"":57.36806605770395,""executor__memory_off_heap__max_percentage"":51.22041702270512,""executor__memory_off_heap__suggested_value"":6,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":41.8099043890835,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":77.01555405826386}"
links,
version,3.5.7
