task_id,event_id,start_time_ms,end_time_ms,category,sub_category,name,description,payload
7095,2,1784613777173,1784614516195,spark_execution,stage,Stage 0,"save at FormatSparkWriter.scala:28 - attempt=0, id=0, jobId=0, numTasks=18991, partitions=18991, shuffleOutput=HashPartitioning(ts), status=succeeded, tfId=1","{""id"":0,""tfId"":1,""jobId"":0,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":392495,""internal.metrics.resultSize"":108059287,""internal.metrics.executorCpuTime"":93364735623300,""internal.metrics.executorRunTime"":324325669,""internal.metrics.input.recordsRead"":28174443393,""internal.metrics.peakExecutionMemory"":28111292604240,""internal.metrics.executorDeserializeTime"":357289,""internal.metrics.resultSerializationTime"":125,""internal.metrics.shuffle.write.writeTime"":213899014380346,""internal.metrics.executorDeserializeCpuTime"":116977111500,""internal.metrics.shuffle.write.bytesWritten"":8037245149088,""internal.metrics.shuffle.write.recordsWritten"":28174443393},""numTasks"":18991,""partitions"":18991,""shuffleOutput"":""HashPartitioning(ts)"",""taskMetricsDistributions"":{""duration"":[4642.0,13986.0,16331.0,18873.0,141060.0],""jvmGcTime"":[0.0,9.0,11.0,14.0,271.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[1.0,3.0,3.0,4.0,99.0],""executorRunTime"":[4638.0,13971.0,16315.0,18864.0,140470.0],""peakExecutionMemory"":[822083392.0,1308622544.0,1442840240.0,1577057936.0,3422551264.0],""executorDeserializeTime"":[0.0,1.0,1.0,1.0,740.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,2.0],""inputMetrics_recordsRead"":[694911.0,1286584.0,1435697.0,1597129.0,3864115.0],""shuffleWriteMetrics_writeBytes"":[149250022.0,379537423.0,428470786.0,471292127.0,627625087.0],""shuffleWriteMetrics_writeRecords"":[694911.0,1286584.0,1435697.0,1597129.0,3864115.0]}}"
7095,3,1784614316387,1784614439780,insight,skewed_stage,Skew (stage=0),"Tasks duration (seconds): avg=17, p75=18, max=140. ","{""stageId"":0,""topKeys"":{},""stageAttempt"":0,""shuffleInputs"":"""",""maxTaskMetrics"":{""internal.metrics.jvmGCTime"":250,""internal.metrics.resultSize"":5695,""internal.metrics.executorCpuTime"":4495839300,""internal.metrics.executorRunTime"":140470,""internal.metrics.input.recordsRead"":1264320,""internal.metrics.peakExecutionMemory"":1308622544,""internal.metrics.executorDeserializeTime"":564,""internal.metrics.shuffle.write.writeTime"":12149631402,""internal.metrics.executorDeserializeCpuTime"":150169700,""internal.metrics.shuffle.write.bytesWritten"":402619239,""internal.metrics.shuffle.write.recordsWritten"":1264320},""avgTaskDurationSec"":17,""maxTaskDurationSec"":140,""p75TaskDurationSec"":18}"
7095,4,1784614516734,1784615006367,spark_execution,stage,Stage 2,"save at FormatSparkWriter.scala:28 - attempt=0, id=2, jobId=1, numTasks=19488, parentStages=(1), partitions=19488, shuffleInputs=(HashPartitioning(ts)), status=succeeded, tfId=1","{""id"":2,""tfId"":1,""jobId"":1,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":1278626,""internal.metrics.resultSize"":199085067,""internal.metrics.executorCpuTime"":186867145073600,""internal.metrics.executorRunTime"":338601608,""internal.metrics.output.bytesWritten"":1798859560320,""internal.metrics.peakExecutionMemory"":28669760010448,""internal.metrics.output.recordsWritten"":28174443393,""internal.metrics.executorDeserializeTime"":417409,""internal.metrics.resultSerializationTime"":8132,""internal.metrics.executorDeserializeCpuTime"":259091673500,""internal.metrics.shuffle.read.fetchWaitTime"":73143302,""internal.metrics.shuffle.read.localBytesRead"":39726398127,""internal.metrics.shuffle.read.remoteBytesRead"":4245086881818,""internal.metrics.shuffle.read.localBlocksFetched"":115,""internal.metrics.shuffle.read.remoteReqsDuration"":73740554,""internal.metrics.shuffle.read.remoteBlocksFetched"":12071,""internal.metrics.shuffle.read.remoteBytesReadToDisk"":4015593148242},""numTasks"":19488,""partitions"":19488,""parentStages"":""(1)"",""shuffleInputs"":""(HashPartitioning(ts))"",""taskMetricsDistributions"":{""duration"":[1290.0,12293.0,15421.0,20486.0,84094.0],""jvmGcTime"":[0.0,44.0,61.0,78.0,598.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,3.0,4.0,4.0,58.0],""executorRunTime"":[1280.0,12282.0,15408.0,20451.0,84082.0],""peakExecutionMemory"":[205520848.0,1342176976.0,1476394672.0,1610612368.0,3221224736.0],""executorDeserializeTime"":[5.0,7.0,9.0,11.0,1906.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,547.0],""outputMetrics_bytesWritten"":[7481576.0,81845890.0,94458696.0,103934884.0,138300748.0],""outputMetrics_recordsWritten"":[116594.0,1269903.0,1422748.0,1577848.0,3811861.0],""shuffleReadMetrics_readBytes"":[0.0,0.0,288382311.0,431171527.0,627625087.0]}}"
7095,8,1784615009838,1784615011176,spark_execution,stage,Stage 3,"getHistory at DeltaTableOperations.scala:57 - attempt=0, id=3, jobId=2, numTasks=720, partitions=720, status=succeeded, tfId=2","{""id"":3,""tfId"":2,""jobId"":2,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":82,""internal.metrics.resultSize"":1260125,""internal.metrics.executorCpuTime"":56313625600,""internal.metrics.executorRunTime"":219448,""internal.metrics.input.recordsRead"":215,""internal.metrics.executorDeserializeTime"":100969,""internal.metrics.resultSerializationTime"":225,""internal.metrics.executorDeserializeCpuTime"":25216463000},""numTasks"":720,""partitions"":720,""taskMetricsDistributions"":{""duration"":[186.0,217.0,241.0,938.0,1324.0],""jvmGcTime"":[0.0,0.0,0.0,0.0,8.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[7.0,19.0,25.0,30.0,42.0],""executorRunTime"":[46.0,58.0,68.0,789.0,1152.0],""executorDeserializeTime"":[118.0,129.0,137.0,150.0,202.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,4.0],""inputMetrics_recordsRead"":[0.0,0.0,0.0,1.0,1.0]}}"
7095,9,1784615011357,1784615418185,spark_execution,stage,Stage 4,"save at FormatSparkWriter.scala:28 - attempt=0, id=4, jobId=3, numTasks=18916, partitions=18916, shuffleOutput=HashPartitioning(ts), status=succeeded, tfId=4","{""id"":4,""tfId"":4,""jobId"":3,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":345982,""internal.metrics.resultSize"":107445324,""internal.metrics.executorCpuTime"":98756912608900,""internal.metrics.executorRunTime"":288997965,""internal.metrics.input.recordsRead"":28409106436,""internal.metrics.peakExecutionMemory"":28202107653216,""internal.metrics.executorDeserializeTime"":20027,""internal.metrics.shuffle.write.writeTime"":174621391666004,""internal.metrics.executorDeserializeCpuTime"":21491928500,""internal.metrics.shuffle.write.bytesWritten"":8043633287424,""internal.metrics.shuffle.write.recordsWritten"":28409106436},""numTasks"":18916,""partitions"":18916,""shuffleOutput"":""HashPartitioning(ts)"",""taskMetricsDistributions"":{""duration"":[4844.0,13259.0,15229.0,17207.0,39655.0],""jvmGcTime"":[0.0,10.0,12.0,15.0,301.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[0.0,3.0,3.0,4.0,49.0],""executorRunTime"":[4840.0,13255.0,15224.0,17203.0,39651.0],""peakExecutionMemory"":[822083392.0,1308622544.0,1442840240.0,1577057936.0,3825204368.0],""executorDeserializeTime"":[0.0,0.0,1.0,1.0,48.0],""inputMetrics_recordsRead"":[734154.0,1312108.0,1452671.0,1613350.0,4283499.0],""shuffleWriteMetrics_writeBytes"":[149612198.0,383135640.0,429684763.0,471231691.0,610218562.0],""shuffleWriteMetrics_writeRecords"":[734154.0,1312108.0,1452671.0,1613350.0,4283499.0]}}"
7095,10,1784615011482,1784615408215,spark_execution,stage,Stage 5,"count at DeltaUtils.scala:16 - attempt=0, id=5, jobId=4, numTasks=117, partitions=117, shuffleOutput=SinglePartition$, status=succeeded, tfId=5","{""id"":5,""tfId"":5,""jobId"":4,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":216230,""internal.metrics.executorCpuTime"":156368800,""internal.metrics.executorRunTime"":155,""internal.metrics.executorDeserializeTime"":109,""internal.metrics.shuffle.write.writeTime"":90093785,""internal.metrics.executorDeserializeCpuTime"":92350500,""internal.metrics.shuffle.write.bytesWritten"":6903,""internal.metrics.shuffle.write.recordsWritten"":117},""numTasks"":117,""partitions"":117,""shuffleOutput"":""SinglePartition$"",""taskMetricsDistributions"":{""duration"":[1.0,2.0,2.0,2.0,85.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[1.0,2.0,2.0,2.0,4.0],""executorRunTime"":[0.0,0.0,0.0,0.0,70.0],""executorDeserializeTime"":[0.0,0.0,0.0,0.0,31.0],""shuffleWriteMetrics_writeBytes"":[59.0,59.0,59.0,59.0,59.0],""shuffleWriteMetrics_writeRecords"":[1.0,1.0,1.0,1.0,1.0]}}"
7095,13,1784615408257,1784615408461,spark_execution,stage,Stage 7,"count at DeltaUtils.scala:16 - attempt=0, id=7, jobId=5, numTasks=1, parentStages=(6), partitions=1, shuffleInputs=(SinglePartition$), status=succeeded, tfId=5","{""id"":7,""tfId"":5,""jobId"":5,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":4084,""internal.metrics.executorCpuTime"":28053600,""internal.metrics.executorRunTime"":156,""internal.metrics.executorDeserializeTime"":38,""internal.metrics.shuffle.read.recordsRead"":117,""internal.metrics.executorDeserializeCpuTime"":10031000,""internal.metrics.shuffle.read.localBytesRead"":1888,""internal.metrics.shuffle.read.remoteBytesRead"":5015,""internal.metrics.shuffle.read.localBlocksFetched"":32,""internal.metrics.shuffle.read.remoteReqsDuration"":33,""internal.metrics.shuffle.read.remoteBlocksFetched"":85},""numTasks"":1,""partitions"":1,""parentStages"":""(6)"",""shuffleInputs"":""(SinglePartition$)"",""taskMetricsDistributions"":{""duration"":[199.0,199.0,199.0,199.0,199.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[5.0,5.0,5.0,5.0,5.0],""executorRunTime"":[156.0,156.0,156.0,156.0,156.0],""executorDeserializeTime"":[38.0,38.0,38.0,38.0,38.0],""shuffleReadMetrics_readBytes"":[6903.0,6903.0,6903.0,6903.0,6903.0],""shuffleReadMetrics_readRecords"":[117.0,117.0,117.0,117.0,117.0]}}"
7095,15,1784615408539,1784615408759,spark_execution,stage,Stage 8,"first at DeltaUtils.scala:18 - attempt=0, id=8, jobId=6, numTasks=117, partitions=117, status=succeeded, tfId=6","{""id"":8,""tfId"":6,""jobId"":6,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":217657,""internal.metrics.executorCpuTime"":185502100,""internal.metrics.executorRunTime"":165,""internal.metrics.executorDeserializeTime"":1012,""internal.metrics.executorDeserializeCpuTime"":656822000},""numTasks"":117,""partitions"":117,""taskMetricsDistributions"":{""duration"":[1.0,1.0,2.0,3.0,218.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[1.0,1.0,2.0,3.0,59.0],""executorRunTime"":[0.0,0.0,0.0,0.0,9.0],""executorDeserializeTime"":[0.0,0.0,0.0,1.0,204.0]}}"
7095,16,1784615418557,1784615906314,spark_execution,stage,Stage 10,"save at FormatSparkWriter.scala:28 - attempt=0, id=10, jobId=7, numTasks=19347, parentStages=(9), partitions=19347, shuffleInputs=(HashPartitioning(ts)), status=succeeded, tfId=4","{""id"":10,""tfId"":4,""jobId"":7,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":1324570,""internal.metrics.resultSize"":198189544,""internal.metrics.executorCpuTime"":190668422783900,""internal.metrics.executorRunTime"":345970377,""internal.metrics.output.bytesWritten"":1804331924024,""internal.metrics.peakExecutionMemory"":28763747001296,""internal.metrics.output.recordsWritten"":28409106436,""internal.metrics.executorDeserializeTime"":181708,""internal.metrics.resultSerializationTime"":55,""internal.metrics.executorDeserializeCpuTime"":179526371400,""internal.metrics.shuffle.read.fetchWaitTime"":78335887,""internal.metrics.shuffle.read.localBytesRead"":48011125297,""internal.metrics.shuffle.read.remoteBytesRead"":4415597281212,""internal.metrics.shuffle.read.localBlocksFetched"":128,""internal.metrics.shuffle.read.remoteReqsDuration"":78873195,""internal.metrics.shuffle.read.remoteBlocksFetched"":12039,""internal.metrics.shuffle.read.remoteBytesReadToDisk"":4211923808473},""numTasks"":19347,""partitions"":19347,""parentStages"":""(9)"",""shuffleInputs"":""(HashPartitioning(ts))"",""taskMetricsDistributions"":{""duration"":[463.0,13311.0,16578.0,21078.0,51261.0],""jvmGcTime"":[0.0,49.0,65.0,83.0,367.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[0.0,3.0,3.0,4.0,100.0],""executorRunTime"":[449.0,13299.0,16565.0,21066.0,51249.0],""peakExecutionMemory"":[68157424.0,1342176976.0,1476394672.0,1610612368.0,3154115888.0],""executorDeserializeTime"":[5.0,7.0,8.0,11.0,94.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,5.0],""outputMetrics_bytesWritten"":[923632.0,83454541.0,95259306.0,104091682.0,146532213.0],""outputMetrics_recordsWritten"":[19135.0,1301410.0,1441044.0,1598059.0,3555610.0],""shuffleReadMetrics_readBytes"":[0.0,0.0,317881435.0,437177322.0,587945394.0]}}"
7095,19,1784615909283,1784615910021,spark_execution,stage,Stage 11,"getHistory at DeltaTableOperations.scala:57 - attempt=0, id=11, jobId=8, numTasks=720, partitions=720, status=succeeded, tfId=7","{""id"":11,""tfId"":7,""jobId"":8,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":1253000,""internal.metrics.executorCpuTime"":3547311000,""internal.metrics.executorRunTime"":93496,""internal.metrics.input.recordsRead"":216,""internal.metrics.executorDeserializeTime"":10070,""internal.metrics.executorDeserializeCpuTime"":2774383700},""numTasks"":720,""partitions"":720,""taskMetricsDistributions"":{""duration"":[29.0,41.0,50.0,394.0,728.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[6.0,16.0,22.0,28.0,40.0],""executorRunTime"":[5.0,8.0,9.0,363.0,684.0],""executorDeserializeTime"":[5.0,9.0,12.0,16.0,49.0],""inputMetrics_recordsRead"":[0.0,0.0,0.0,1.0,1.0]}}"
7095,20,1784615910074,1784615910134,spark_execution,stage,Stage 12,"count at DeltaUtils.scala:16 - attempt=0, id=12, jobId=9, numTasks=118, partitions=118, shuffleOutput=SinglePartition$, status=succeeded, tfId=8","{""id"":12,""tfId"":8,""jobId"":9,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":3,""internal.metrics.resultSize"":227378,""internal.metrics.executorCpuTime"":1411506800,""internal.metrics.executorRunTime"":1374,""internal.metrics.executorDeserializeTime"":1404,""internal.metrics.shuffle.write.writeTime"":311630950,""internal.metrics.executorDeserializeCpuTime"":809163900,""internal.metrics.shuffle.write.bytesWritten"":6962,""internal.metrics.shuffle.write.recordsWritten"":118},""numTasks"":118,""partitions"":118,""shuffleOutput"":""SinglePartition$"",""taskMetricsDistributions"":{""duration"":[10.0,25.0,28.0,33.0,57.0],""jvmGcTime"":[0.0,0.0,0.0,0.0,3.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[4.0,6.0,6.0,7.0,9.0],""executorRunTime"":[0.0,10.0,11.0,14.0,26.0],""executorDeserializeTime"":[3.0,9.0,10.0,13.0,39.0],""shuffleWriteMetrics_writeBytes"":[59.0,59.0,59.0,59.0,59.0],""shuffleWriteMetrics_writeRecords"":[1.0,1.0,1.0,1.0,1.0]}}"
7095,21,1784615910147,1784615910273,spark_execution,stage,Stage 14,"count at DeltaUtils.scala:16 - attempt=0, id=14, jobId=10, numTasks=1, parentStages=(13), partitions=1, shuffleInputs=(SinglePartition$), status=succeeded, tfId=8","{""id"":14,""tfId"":8,""jobId"":10,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":4084,""internal.metrics.executorCpuTime"":29765600,""internal.metrics.executorRunTime"":103,""internal.metrics.executorDeserializeTime"":17,""internal.metrics.shuffle.read.recordsRead"":118,""internal.metrics.executorDeserializeCpuTime"":12124700,""internal.metrics.shuffle.read.fetchWaitTime"":16,""internal.metrics.shuffle.read.localBytesRead"":59,""internal.metrics.shuffle.read.remoteBytesRead"":6903,""internal.metrics.shuffle.read.localBlocksFetched"":1,""internal.metrics.shuffle.read.remoteReqsDuration"":438,""internal.metrics.shuffle.read.remoteBlocksFetched"":117},""numTasks"":1,""partitions"":1,""parentStages"":""(13)"",""shuffleInputs"":""(SinglePartition$)"",""taskMetricsDistributions"":{""duration"":[123.0,123.0,123.0,123.0,123.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[3.0,3.0,3.0,3.0,3.0],""executorRunTime"":[103.0,103.0,103.0,103.0,103.0],""executorDeserializeTime"":[17.0,17.0,17.0,17.0,17.0],""shuffleReadMetrics_readBytes"":[6962.0,6962.0,6962.0,6962.0,6962.0],""shuffleReadMetrics_readRecords"":[118.0,118.0,118.0,118.0,118.0]}}"
7095,22,1784615910297,1784615910355,spark_execution,stage,Stage 15,"first at DeltaUtils.scala:18 - attempt=0, id=15, jobId=11, numTasks=118, partitions=118, status=succeeded, tfId=9","{""id"":15,""tfId"":9,""jobId"":11,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":8,""internal.metrics.resultSize"":226204,""internal.metrics.executorCpuTime"":537991200,""internal.metrics.executorRunTime"":484,""internal.metrics.executorDeserializeTime"":2254,""internal.metrics.executorDeserializeCpuTime"":1916952700},""numTasks"":118,""partitions"":118,""taskMetricsDistributions"":{""duration"":[8.0,27.0,31.0,34.0,54.0],""jvmGcTime"":[0.0,0.0,0.0,0.0,4.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[4.0,5.0,5.0,6.0,8.0],""executorRunTime"":[0.0,4.0,4.0,5.0,10.0],""executorDeserializeTime"":[3.0,18.0,21.0,23.0,42.0]}}"
