key,value
env_id,1
task_id,6998
app_pit,2026-07-20T18:30:10
task_name,polaris-bhv4-one-percent
task_type,spark
start_time,2026-07-20T18:30:12.052000+00:00
end_time,2026-07-20T18:32:00.399000+00:00
status,COMPLETED
error,
app_id,6
notification_sent,false
pipeline_run_id,6-2026-07-20 18:30:10
user_task_id,polaris-bhv4-one-percent
last_heartbeat,2026-07-20T18:30:12.052000+00:00
params_baseline_id,4791
task_sub_type,
agent_task_id,1655759361
tenant_id,1
parent_task_id,
retention_end_time,
app_name,polaris-bhv4-one-percent
env_name,default
task_duration,108.347
cost,0.01100866977513228
env,default
duration,108.347
task_rnum,1
utilization,0.20075519223198918
cnt_metrics,89
cnt_test_runs,
cnt_alerts,
cnt_breaks,
cnt_tfs_completed,12
cnt_tfs_running,0
cnt_tfs_failed,0
run_insights,"{""app_id"":6,""env_id"":1,""app_pit"":""2026-07-20T18:30:10"",""task_id"":6998,""task_name"":""polaris-bhv4-one-percent"",""driver__cores"":1,""task__duration"":108.347,""executor__cores"":1,""task__idle_time"":46.9549996852875,""task__skew_time"":0,""executors__duration"":1017.7857142857143,""task__metrics_count"":89,""task__total_io_bytes"":11453908993,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-07-20T18:32:00.589615"",""executors__jvm_gc_time"":1.376,""task__task_cpus__param"":1,""task__vcore_time__used"":491.033,""suggested_executors_max"":5,""suggested_executors_min"":3,""task__memory_time__used"":3045.841420930605,""task__tfs_count__failed"":0,""configured_max_executors"":10,""driver__memory__max_used"":2.54055118560791,""task__disk_bytes_spilled"":0,""task__tfs_count__running"":0,""driver__memory__allocated"":5,""executors__cpu_time__used"":608.96,""task__idle_time_percentage"":43.337609426460816,""task__skew_time_percentage"":0,""task__tfs_count__completed"":12,""executor__memory__allocated"":14,""executors__retry_percentage"":0,""executors__vcore_time__used"":381.033,""task__vcore_time__allocated"":1127,""driver__vcore_time_allocated"":108.347,""executors__memory_time__used"":2770.580321623545,""task__memory_time__allocated"":14790.735,""driver__heap_memory__max_used"":2.54055118560791,""executors__gc_time_percentage"":0.36112357722297017,""driver__heap_memory__allocated"":4,""driver__memory_time__allocated"":541.735,""executors__vcores_time__unused"":1357.0476190476193,""executor__memory_heap__max_used"":10.5019273757935,""task__executor_instances__param"":10,""task__shuffle_partitions__param"":""200"",""executor__memory_heap__allocated"":12,""executors__vcore_time__allocated"":1017,""task__is_run_with_long_idle_time"":true,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":14249,""executors__vcore_time__allocated2"":1017,""executor__memory_off_heap__max_used"":0,""driver__memory_heap__suggested_value"":4,""executor__memory_off_heap__allocated"":2,""executor__memory_heap__max_percentage"":87.51606146494584,""executor__memory_heap__suggested_value"":12,""executors__cpu_utilization__percentage"":159.8181784779796,""executor__memory_off_heap__max_percentage"":0,""executor__memory_off_heap__suggested_value"":2,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":63.513779640197754,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":37.46637168141593}"
links,
version,3.5.7
