key,value
env_id,1
task_id,6991
app_pit,2026-07-20T17:30:15
task_name,polaris-bhv4-ten-percent
task_type,spark
start_time,2026-07-20T17:30:19.594000+00:00
end_time,2026-07-20T17:39:24.037000+00:00
status,COMPLETED
error,
app_id,8
notification_sent,false
pipeline_run_id,8-2026-07-20 17:30:15
user_task_id,polaris-bhv4-ten-percent
last_heartbeat,2026-07-20T17:38:20.388000+00:00
params_baseline_id,6023
task_sub_type,
agent_task_id,610836915
tenant_id,1
parent_task_id,
retention_end_time,
app_name,polaris-bhv4-ten-percent
env_name,default
task_duration,544.443
cost,0.3515573035802471
env,default
duration,544.443
task_rnum,1
utilization,0.2673776960107037
cnt_metrics,89
cnt_test_runs,
cnt_alerts,
cnt_breaks,
cnt_tfs_completed,16
cnt_tfs_running,0
cnt_tfs_failed,0
run_insights,"{""app_id"":8,""env_id"":1,""app_pit"":""2026-07-20T17:30:15"",""task_id"":6991,""task_name"":""polaris-bhv4-ten-percent"",""driver__cores"":1,""task__duration"":544.443,""executor__cores"":1,""task__idle_time"":75.4039998054504,""task__skew_time"":0,""executors__duration"":26196.159944444444,""task__metrics_count"":89,""task__total_io_bytes"":896720961286,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-07-20T17:39:24.257085"",""executors__jvm_gc_time"":29.148,""task__task_cpus__param"":1,""task__vcore_time__used"":20872.552,""suggested_executors_max"":34,""suggested_executors_min"":27,""task__memory_time__used"":129669.37464927894,""task__tfs_count__failed"":0,""configured_max_executors"":50,""driver__memory__max_used"":2.58253955841064,""task__disk_bytes_spilled"":0,""task__tfs_count__running"":0,""driver__memory__allocated"":5,""executors__cpu_time__used"":20053.1,""task__idle_time_percentage"":13.849750994218017,""task__skew_time_percentage"":0,""task__tfs_count__completed"":16,""executor__memory__allocated"":18,""executors__retry_percentage"":0,""executors__vcore_time__used"":20324.552,""task__vcore_time__allocated"":26743,""driver__vcore_time_allocated"":544.443,""executors__memory_time__used"":128263.32906447917,""task__memory_time__allocated"":474253.094,""driver__heap_memory__max_used"":2.58253955841064,""executors__gc_time_percentage"":0.1434127551741362,""driver__heap_memory__allocated"":4,""driver__memory_time__allocated"":2722.215,""executors__vcores_time__unused"":52392.31988888889,""executor__memory_heap__max_used"":12.946855507791,""task__executor_instances__param"":50,""task__shuffle_partitions__param"":""200"",""executor__memory_heap__allocated"":16,""executors__vcore_time__allocated"":26195,""task__is_run_with_long_idle_time"":false,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":471530.87899999996,""executors__vcore_time__allocated2"":26195,""executor__memory_off_heap__max_used"":0,""driver__memory_heap__suggested_value"":4,""executor__memory_off_heap__allocated"":2,""executor__memory_heap__max_percentage"":80.91784692369374,""executor__memory_heap__suggested_value"":16,""executors__cpu_utilization__percentage"":98.66441336566729,""executor__memory_off_heap__max_percentage"":0,""executor__memory_off_heap__suggested_value"":2,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":64.563488960266,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":77.58943309791945}"
links,
version,3.5.7
