metric_id,asset_name,asset_type,metric_group_type,metric_type,task_name,metric_value,asset_value,count_tests,count_open_alerts,count_breaking_alerts
754,polaris-bhv4-ten-percent,task,environment,num_params,polaris-bhv4-ten-percent,196,,,,
756,polaris-bhv4-ten-percent,task,time,duration,polaris-bhv4-ten-percent,544.443,,,,
757,polaris-bhv4-ten-percent,task,resources,tasks_result_size_bytes,polaris-bhv4-ten-percent,23985666,,,,
758,polaris-bhv4-ten-percent,task,resources,executors_used_vcore_time,polaris-bhv4-ten-percent,20324.552,,,,
759,polaris-bhv4-ten-percent,task,resources,shuffle_bytes_written,polaris-bhv4-ten-percent,538414721826,,,,
760,polaris-bhv4-ten-percent,task,time,executors_shuffle_read_time,polaris-bhv4-ten-percent,338.213,,,,
761,polaris-bhv4-ten-percent,task,resources,num_spark_tasks,polaris-bhv4-ten-percent,3467,,,,
762,polaris-bhv4-ten-percent,task,resources,shuffle_records_written,polaris-bhv4-ten-percent,1843907001,,,,
763,polaris-bhv4-ten-percent,task,resources,disk_bytes_spilled,polaris-bhv4-ten-percent,0,,,,
764,polaris-bhv4-ten-percent,task,resources,output_bytes_written,polaris-bhv4-ten-percent,137298236795,,,,
765,polaris-bhv4-ten-percent,task,resources,num_spark_jobs,polaris-bhv4-ten-percent,24,,,,
766,polaris-bhv4-ten-percent,task,resources,num_spark_tasks_retries,polaris-bhv4-ten-percent,0,,,,
767,polaris-bhv4-ten-percent,task,resources,shuffle_bytes_read,polaris-bhv4-ten-percent,221008002665,,,,
768,polaris-bhv4-ten-percent,task,resources,output_records_written,polaris-bhv4-ten-percent,1843906801,,,,
769,polaris-bhv4-ten-percent,task,resources,num_spark_stages_failures,polaris-bhv4-ten-percent,0,,,,
770,polaris-bhv4-ten-percent,task,resources,memory_bytes_spilled,polaris-bhv4-ten-percent,0,,,,
771,polaris-bhv4-ten-percent,task,resources,num_spark_stages,polaris-bhv4-ten-percent,24,,,,
772,polaris-bhv4-ten-percent,task,time,executors_jvm_gc_time,polaris-bhv4-ten-percent,29.148,,,,
773,polaris-bhv4-ten-percent,task,resources,num_spark_tasks_failures,polaris-bhv4-ten-percent,0,,,,
774,polaris-bhv4-ten-percent,task,time,executors_shuffle_write_time,polaris-bhv4-ten-percent,638.571271907,,,,
775,polaris-bhv4-ten-percent,task,resources,shuffle_records_read,polaris-bhv4-ten-percent,200,,,,
776,polaris-bhv4-ten-percent,task,resources,executors_used_vcore_time_of_retried_tasks,polaris-bhv4-ten-percent,0,,,,
777,polaris-bhv4-ten-percent,task,resources,input_bytes_read,polaris-bhv4-ten-percent,0,,,,
778,polaris-bhv4-ten-percent,task,resources,num_spark_stages_retries,polaris-bhv4-ten-percent,0,,,,
779,polaris-bhv4-ten-percent,task,resources,input_records_read,polaris-bhv4-ten-percent,1843910211,,,,
780,polaris-bhv4-ten-percent,task,resources,executors_python_used_cpu_time,polaris-bhv4-ten-percent,0,,,,
781,polaris-bhv4-ten-percent,task,resources,executor_managed_execution_memory_on_heap_max_used,polaris-bhv4-ten-percent,1.93749956786633,,,,
782,polaris-bhv4-ten-percent,task,resources,driver_max_off_heap_used_memory,polaris-bhv4-ten-percent,0,,,,
783,polaris-bhv4-ten-percent,task,resources,executor_max_heap_used_memory,polaris-bhv4-ten-percent,12.946855507791,,,,
784,polaris-bhv4-ten-percent,task,resources,executor_cores,polaris-bhv4-ten-percent,1,,,,
785,polaris-bhv4-ten-percent,task,resources,broadcasts_failures,polaris-bhv4-ten-percent,0,,,,
786,polaris-bhv4-ten-percent,task,resources,driver_cores,polaris-bhv4-ten-percent,1,,,,
787,polaris-bhv4-ten-percent,task,resources,executors_java_used_cpu_time,polaris-bhv4-ten-percent,20053.1,,,,
788,polaris-bhv4-ten-percent,task,resources,executors_used_cpu_time,polaris-bhv4-ten-percent,20053.1,,,,
789,polaris-bhv4-ten-percent,task,resources,driver_max_heap_memory_utilization,polaris-bhv4-ten-percent,0.645634889602661,,,,
790,polaris-bhv4-ten-percent,task,resources,executor_managed_execution_memory_off_heap_max_used,polaris-bhv4-ten-percent,0,,,,
791,polaris-bhv4-ten-percent,task,resources,driver_heap_memory,polaris-bhv4-ten-percent,4,,,,
792,polaris-bhv4-ten-percent,task,resources,used_vcore_time,polaris-bhv4-ten-percent,20872.552,,,,
793,polaris-bhv4-ten-percent,task,resources,executor_managed_storage_memory_on_heap_max_used,polaris-bhv4-ten-percent,0.0027300613000989,,,,
794,polaris-bhv4-ten-percent,task,resources,s3_put_object_requests,polaris-bhv4-ten-percent,0,,,,
795,polaris-bhv4-ten-percent,task,resources,executors_vcore_time,polaris-bhv4-ten-percent,26195,,,,
796,polaris-bhv4-ten-percent,task,resources,driver_max_off_heap_memory_utilization,polaris-bhv4-ten-percent,0,,,,
797,polaris-bhv4-ten-percent,task,resources,driver_jvm_gc_time_pct,polaris-bhv4-ten-percent,0.0505186827937379,,,,
798,polaris-bhv4-ten-percent,task,resources,fs_open_requests,polaris-bhv4-ten-percent,0,,,,
799,polaris-bhv4-ten-percent,task,time,skew_score,polaris-bhv4-ten-percent,0,,,,
800,polaris-bhv4-ten-percent,task,resources,executor_memory,polaris-bhv4-ten-percent,18,,,,
801,polaris-bhv4-ten-percent,task,resources,memory_time,polaris-bhv4-ten-percent,474253.094,,,,
802,polaris-bhv4-ten-percent,task,resources,cached_data_max_memory_size,polaris-bhv4-ten-percent,0,,,,
803,polaris-bhv4-ten-percent,task,resources,driver_max_heap_used_memory,polaris-bhv4-ten-percent,2.58253955841064,,,,
804,polaris-bhv4-ten-percent,task,resources,cached_data_max_disk_size,polaris-bhv4-ten-percent,0,,,,
805,polaris-bhv4-ten-percent,task,resources,vcore_time,polaris-bhv4-ten-percent,26743,,,,
806,polaris-bhv4-ten-percent,task,time,definity_executors_overhead,polaris-bhv4-ten-percent,1,,,,
807,polaris-bhv4-ten-percent,task,resources,driver_max_memory_utilization,polaris-bhv4-ten-percent,0.516507911682129,,,,
808,polaris-bhv4-ten-percent,task,resources,executor_max_used_memory,polaris-bhv4-ten-percent,12.946855507791,,,,
809,polaris-bhv4-ten-percent,task,resources,driver_max_used_memory,polaris-bhv4-ten-percent,2.58253955841064,,,,
810,polaris-bhv4-ten-percent,task,resources,s3_head_object_requests,polaris-bhv4-ten-percent,0,,,,
811,polaris-bhv4-ten-percent,task,resources,s3_list_objects_requests,polaris-bhv4-ten-percent,0,,,,
812,polaris-bhv4-ten-percent,task,resources,broadcasts_count,polaris-bhv4-ten-percent,0,,,,
813,polaris-bhv4-ten-percent,task,resources,vcore_utilization,polaris-bhv4-ten-percent,0.780486557229929,,,,
814,polaris-bhv4-ten-percent,task,resources,executor_managed_on_heap_memory_max_used,polaris-bhv4-ten-percent,1.93903298396617,,,,
815,polaris-bhv4-ten-percent,task,resources,executor_managed_storage_memory_off_heap_max_used,polaris-bhv4-ten-percent,0,,,,
816,polaris-bhv4-ten-percent,task,resources,executor_managed_off_heap_memory_max_used,polaris-bhv4-ten-percent,0,,,,
817,polaris-bhv4-ten-percent,task,resources,fs_list_requests,polaris-bhv4-ten-percent,0,,,,
818,polaris-bhv4-ten-percent,task,resources,executor_heap_memory,polaris-bhv4-ten-percent,16,,,,
819,polaris-bhv4-ten-percent,task,resources,driver_off_heap_memory,polaris-bhv4-ten-percent,1,,,,
820,polaris-bhv4-ten-percent,task,resources,executors_other_used_cpu_time,polaris-bhv4-ten-percent,0,,,,
821,polaris-bhv4-ten-percent,task,resources,executor_off_heap_memory,polaris-bhv4-ten-percent,2,,,,
822,polaris-bhv4-ten-percent,task,resources,driver_memory,polaris-bhv4-ten-percent,5,,,,
823,polaris-bhv4-ten-percent,task,resources,executor_max_memory_utilization,polaris-bhv4-ten-percent,0.719269750432836,,,,
824,polaris-bhv4-ten-percent,task,time,definity_driver_overhead,polaris-bhv4-ten-percent,3,,,,
825,polaris-bhv4-ten-percent,task,resources,driver_jvm_gc_time,polaris-bhv4-ten-percent,0.277,,,,
826,polaris-bhv4-ten-percent,task,resources,s3_get_object_requests,polaris-bhv4-ten-percent,0,,,,
827,polaris-bhv4-ten-percent,task,resources,executor_max_heap_memory_utilization,polaris-bhv4-ten-percent,0.80917846923694,,,,
828,polaris-bhv4-ten-percent,task,resources,executor_max_off_heap_memory_utilization,polaris-bhv4-ten-percent,0,,,,
829,polaris-bhv4-ten-percent,task,resources,executor_max_off_heap_used_memory,polaris-bhv4-ten-percent,0,,,,
830,polaris-bhv4-ten-percent,task,resources,num_executors,polaris-bhv4-ten-percent,50,,,,
831,abfss://ten-percent@bh4tenpctprod.dfs.core.windows.net/delta,tf,time,duration,polaris-bhv4-ten-percent,53,,,,
832,abfss://ten-percent@bh4tenpctprod.dfs.core.windows.net/delta,tf,resources,executors_used_vcore_time,polaris-bhv4-ten-percent,2198.277,,,,
833,abfss://ten-percent@bh4tenpctprod.dfs.core.windows.net/delta,table,volume,meta_numPartitions,polaris-bhv4-ten-percent,4,,,,
834,abfss://ten-percent@bh4tenpctprod.dfs.core.windows.net/delta,tf,resources,num_spark_tasks,polaris-bhv4-ten-percent,329,,,,
835,abfss://ten-percent@bh4tenpctprod.dfs.core.windows.net/delta,tf,resources,num_spark_stages,polaris-bhv4-ten-percent,2,,,,
836,gamora-behavioral4-ten-percent,input_table,volume,meta_numOutputRows,polaris-bhv4-ten-percent,206377163,,,,
837,abfss://ten-percent@bh4tenpctprod.dfs.core.windows.net/delta,tf,resources,num_spark_jobs,polaris-bhv4-ten-percent,2,,,,
838,abfss://ten-percent@bh4tenpctprod.dfs.core.windows.net/delta,table,schema,schema_cnt,polaris-bhv4-ten-percent,30,,,,
839,abfss://ten-percent@bh4tenpctprod.dfs.core.windows.net/delta,table,schema,num_schema_changes,polaris-bhv4-ten-percent,0,,,,
840,polaris-bhv4-ten-percent,task,resources,num_tfs,polaris-bhv4-ten-percent,16,,,,
841,polaris-bhv4-ten-percent,task,time,task_idle_time,polaris-bhv4-ten-percent,75.4039998054504,,,,
842,polaris-bhv4-ten-percent,task,time,executors_idle_time,polaris-bhv4-ten-percent,91.4429998397827,,,,
850,polaris-bhv4-ten-percent,task,environment,num_changed_params,polaris-bhv4-ten-percent,0,,,,
851,polaris-bhv4-ten-percent,task,time,sla,polaris-bhv4-ten-percent,3740.653,,,,
