readable_name,allocated,used,cost,waste,utilization_pct,grouping_metric,metrics_conf_types,task_id,asset_name,metric_reports,units,table_order,insights
Executors vCores Usage,41726.0,35349.637,0.115905555555556,0.0177121194444444,84.71848967070892,Executors vCores Usage,"[""used_vcore_time"",""used_vcore_time"",""vcore_time""]",7023,,"[{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Allocated-vCores"",""priority"":1,""bucket_size_seconds"":30,""values"":[0,26,35,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Avg-Used-By-Task"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,33.5,48,49.5,50,50,50,50,50,50,25.5,0,0,0,25,50,50,50,31.5,0,50,39,25,0,25.5,25,1,38.5,0]}]",VCore,1,[]
Executors vCores Breakdown,,,,,82.98059750938884,Executors vCores Breakdown,"[""executors_shuffle_read_time"",""executors_shuffle_write_time"",""executors_used_cpu_time"",""executors_used_vcore_time"",""executors_jvm_gc_time""]",7023,,"[{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Executors-Used-vCore-Time"",""priority"":1,""bucket_size_seconds"":30,""values"":[0,0,309709,1795161,1842567,1520531,1582198,1036602,1626373,1570350,1547526,522478,1257526,1557170,1529877,1042062,1691935,1518839,1522018,1301266,1384372,1232397,1396050,1193903,1314694,1143345,932291,779476,1198921,0]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Executors-GC-Time"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,1273,4881,1584,1459,1185,1850,2988,2497,2284,699,2118,1504,1055,904,2093,1862,1857,1201,566,1288,1390,1012,581,1070,954,420,1184,0]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Executors-Shuffle-Read-Time"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,86118,97978,29166,34778,7634,0,0,0,21299,139826,37446,39744,23270,0,180428,14299,117405,6106,81798,10119,413,113076,0]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Executors-Shuffle-Write-Time"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,115283.52876700001,1053103.3238649997,992895.2855040001,608097.930924,540766.2468099999,33362.907006,0,0,0,3994.7228969999996,112353.35208800001,442372.62922600005,442656.027482,180943.47339499995,0,0,0,9131.836145999996,408190.87781599996,7289.536736,9197.851150999999,38963.75354,237501.41725999996,57465.430036000005,1072.012421,91325.41179799997,13.996051000000003,0]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Executors-Used-CPU-Time"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,163380,835820.0000000002,607759.9999999998,615880,775210,783479.9999999991,992820,1570600,1717280,1444499.999999999,1415770.0000000037,600539.9999999963,1171800.0000000037,895029.9999999944,929270.0000000075,1138969.9999999963,1627930.0000000037,1413400.0000000037,1581939.9999999925,965710.0000000037,730890,1292239.9999999963,1052509.9999999963,916479.9999999925,908330.0000000149,1234750,571579.9999999963,815889.9999999963,562780]}]",ms,2,[]
Executors Memory Usage,751088.476,220395.8714791192,0.208635687777778,0.147414612366911,29.34352989315725,Executors Memory Usage,"[""executor_max_used_heap_memory"",""executor_max_used_memory"",""executor_memory"",""executor_heap_memory""]",7023,,"[{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Allocated-Heap"",""priority"":0,""bucket_size_seconds"":30,""values"":[17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Max-Used-Heap-Memory"",""priority"":0,""bucket_size_seconds"":30,""values"":[0,5274984576,12197943376,12225110112,12901958656,13304759328,12956958784,12423759744,12708883144,12911488528,13253216256,12740801536,13613358592,12628244328,13187869080,13158039392,13139666424,12927695872,13346745856,13413848064,13494266296,13088924888,13688810000,13109825856,13301825656,13029645392,13429282896,12961100352,13475989688,13492766904]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Allocated"",""priority"":1,""bucket_size_seconds"":30,""values"":[19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832,19327352832]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Avg-Used-Memory"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,404891968.2666667,5624759264.438354,6319633995.428567,7516298424.367818,7418166035.80952,7650067311.356319,7135868066.793649,7528974062.344829,7147621538.793648,7556377706.850575,8085909035.555554,8355911889.563222,6958706527.619041,7692150102.160921,7980035739.682536,8126021849.195401,8070375278.603172,8051929959.908046,7916239114.412696,7896319891.21839,8019233682.03174,8175136921.747127,7620743493.587299,8183834504.643677,7997504114.539679,7433172116.229885,7398246660.190474,7909332910.528736,7913461337.07692]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Max-Used-Memory"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,5274984576,12197943376,12225110112,12901958656,13304759328,12956958784,12423759744,12708883144,12911488528,13253216256,12740801536,13613358592,12628244328,13187869080,13158039392,13139666424,12927695872,13346745856,13413848064,13494266296,13088924888,13688810000,13109825856,13301825656,13029645392,13429282896,12961100352,13475989688,13492766904]}]",Bytes,3,[]
Executor Heap Memory Breakdown,,,,,15.204688785950001,Executor Heap Memory Breakdown,"[""executor_managed_storage_memory_on_heap_max_used"",""executor_heap_memory"",""executor_managed_execution_memory_on_heap_max_used"",""executor_max_used_heap_memory""]",7023,,"[{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Used-Execution-Memory"",""priority"":0,""bucket_size_seconds"":30,""values"":[0,889192240,2046819872,1979711024,1979711024,1509949088,1174404848,1946156608,1946156608,1543503520,1207959280,973078304,1845493328,1711275632,1308622544,1744830064,1879047760,1543503520,1409285824,1845493328,2080374304,1879047760,1644166784,1610612368,1845493328,1811938912,1677721216,1811938912,1744830064,0]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Used-Storage-Memory"",""priority"":0,""bucket_size_seconds"":30,""values"":[0,38329,38329,38329,38329,38329,38329,688067,688067,688067,688067,27130238,4041344,4041344,4041344,3891714,650375,650375,650375,966655,966655,1666151,1933306,2642661,2651540,996098,1675907,2319266,3257352,3257352]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Allocated Heap"",""priority"":1,""bucket_size_seconds"":30,""values"":[17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184,17179869184]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Max-Used-Heap-Memory"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,5274984576,12197943376,12225110112,12901958656,13304759328,12956958784,12423759744,12708883144,12911488528,13253216256,12740801536,13613358592,12628244328,13187869080,13158039392,13139666424,12927695872,13346745856,13413848064,13494266296,13088924888,13688810000,13109825856,13301825656,13029645392,13429282896,12961100352,13475989688,13492766904]}]",Bytes,5,[]
Executor Off-Heap Memory Breakdown,,,,,0.0,Executor Off-Heap Memory Breakdown,,7023,,"[{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Allocated Off-Heap"",""priority"":1,""bucket_size_seconds"":30,""values"":[2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Max-Used Off-Heap"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]}]",Bytes,6,[]
Driver Memory Usage,4455.8949999999995,2401.041693100455,0.00123774861111111,0.000570792585249873,53.884611129760806,Driver Memory Usage,"[""driver_heap_memory"",""driver_memory""]",7023,,"[{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Allocated-Heap"",""priority"":0,""bucket_size_seconds"":30,""values"":[4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Used-Heap"",""priority"":0,""bucket_size_seconds"":30,""values"":[0,869156352,1479427584,1598965248,1737377280,1884177920,2049852928,2282636800,2448311808,2620278272,2802730496,1387152896,2293122560,2458797568,2630764032,2720941568,697189888,867059200,1043219968,1231963648,1689142784,1942898176,2119058944,2616083968,2892908032,812533248,1183729152,1624131072,1915635200,2259568128]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Allocated"",""priority"":1,""bucket_size_seconds"":30,""values"":[5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120,5368709120]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Used"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,869156352,1479427584,1598965248,1737377280,1884177920,2049852928,2282636800,2448311808,2620278272,2802730496,1387152896,2293122560,2458797568,2630764032,2720941568,697189888,867059200,1043219968,1231963648,1689142784,1942898176,2119058944,2616083968,2892908032,812533248,1183729152,1624131072,1915635200,2259568128]}]",Bytes,8,[]
Driver vCores Usage,891.179,,0.00247549722222222,,0.0,Driver vCores Usage,"[""driver_jvm_gc_time""]",7023,,"[{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Allocated-vCores"",""priority"":1,""bucket_size_seconds"":30,""values"":[30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""GC-Time"",""priority"":1,""bucket_size_seconds"":30,""values"":[0,137,0,0,0,0,0,0,0,0,0,25,0,0,0,29,0,0,0,0,0,0,0,0,28,0,0,0,0,0]}]",ms,9,[]
IO Bytes,,,,,97.0,IO Bytes,"[""input_bytes_read"",""shuffle_bytes_written"",""shuffle_bytes_read"",""output_bytes_written""]",7023,,"[{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Input-Bytes-Read"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,0,0,0,0,1445867204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Output-Bytes-Written"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,7184878568,16448710878,17422602517,17688901621,5059989808,0,0,0,4345765974,16859130040,16193387292,15478359904,10512338797,0,10094445143,12201720503,8447941432,119998061,10039942992,9366494233,605933242,10922402249,0]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Shuffle-Bytes-Read"",""priority"":3,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,22218002668,34194131050,27642187489,23190923325,5091388884,0,0,0,7585079250,34503852302,28284022510,24756171861,14208206720,2950,21956481608,19319204136,13770057490,225981458,18224247742,12810826080,244688102,19024446087,0]},{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Shuffle-Bytes-Written"",""priority"":3,""bucket_size_seconds"":30,""values"":[0,0,10196633570,38037030343,60802913574,67291616384,77470536381,2503721600,0,0,0,594412092,69847493382,78892259579,78807790304,28005100420,0,0,0,19013363528,70828926531,267532537,21602418869,13191535608,74342173585,3570164392,2781370446,43906742738,2950,0]}]",Bytes,10,[]
Cached Data,,,,,0.0,Cached Data,"[""cached_data_max_memory_size""]",7023,,"[{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Memory-Size"",""priority"":2,""bucket_size_seconds"":30,""values"":[0,0,0,0,0,0,0,0,0,0,0,1155723706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]}]",Bytes,12,[]
Tasks,,,,,0.0,Tasks,"[""num_spark_tasks""]",7023,,"[{""start_time_ms"":1784583011625,""kind"":""gauge"",""line_name"":""Active-Tasks"",""priority"":3,""bucket_size_seconds"":30,""values"":[0,32,63,86,135,170,216,108,151,184,233,240,191,183,233,240,148,169,194,244,253,140,209,234,360,144,241,313,220,0]}]",,14,[]
