key,value
env_id,1
task_id,6928
app_pit,2026-07-20T08:42:09
task_name,polaris-waf-dlr-100
task_type,spark
start_time,2026-07-20T08:42:11.483000+00:00
end_time,2026-07-20T09:30:29.438000+00:00
status,COMPLETED
error,
app_id,1
notification_sent,false
pipeline_run_id,1-2026-07-20 08:42:09
user_task_id,polaris-waf-dlr-100
last_heartbeat,2026-07-20T09:30:12.173000+00:00
params_baseline_id,1
task_sub_type,
agent_task_id,1182753069
tenant_id,1
parent_task_id,
retention_end_time,
app_name,polaris-waf-dlr-100
env_name,default
task_duration,2897.955
cost,19.69500562336257
env,default
duration,2897.955
task_rnum,1
utilization,0.5159187108439676
cnt_metrics,93
cnt_test_runs,12
cnt_alerts,0
cnt_breaks,0
cnt_tfs_completed,2
cnt_tfs_running,0
cnt_tfs_failed,0
run_insights,"{""app_id"":1,""env_id"":1,""app_pit"":""2026-07-20T08:42:09"",""task_id"":6928,""task_name"":""polaris-waf-dlr-100"",""driver__cores"":5,""task__duration"":2897.955,""executor__cores"":6,""task__idle_time"":90.628999710083,""task__skew_time"":246,""task__alerts_count"":0,""task__breaks_count"":0,""executors__duration"":465392.41863157897,""task__metrics_count"":93,""task__total_io_bytes"":42539365696590,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-07-20T09:30:29.697149"",""executors__jvm_gc_time"":2516.376,""task__task_cpus__param"":1,""task__tests_runs_count"":12,""task__vcore_time__used"":2333479.559,""suggested_executors_max"":122,""suggested_executors_min"":98,""task__memory_time__used"":13244883.290571671,""task__tfs_count__failed"":0,""configured_max_executors"":167,""driver__memory__max_used"":4.57240796089172,""task__disk_bytes_spilled"":0,""task__tfs_count__running"":0,""driver__memory__allocated"":6,""executors__cpu_time__used"":666079.59,""task__idle_time_percentage"":3.1273432372166927,""task__skew_time_percentage"":8.488744649244035,""task__tfs_count__completed"":2,""executor__memory__allocated"":57,""executors__retry_percentage"":0,""executors__vcore_time__used"":2318979.559,""task__vcore_time__allocated"":2806853,""driver__vcore_time_allocated"":14489.775,""executors__memory_time__used"":13231632.658059364,""task__memory_time__allocated"":26544755.592,""driver__heap_memory__max_used"":3.67776989936829,""executors__gc_time_percentage"":0.10851221134028118,""driver__heap_memory__allocated"":4,""driver__memory_time__allocated"":17387.73,""executors__vcores_time__unused"":1628873.4652105265,""executor__memory_heap__max_used"":51.7380336076021,""task__executor_instances__param"":167,""task__shuffle_partitions__param"":""10000"",""executor__memory_heap__allocated"":52,""executors__vcore_time__allocated"":2792353,""task__is_run_with_long_idle_time"":false,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":26527367.862,""executors__vcore_time__allocated2"":2792353,""executor__memory_off_heap__max_used"":4.47998809814453,""driver__memory_heap__suggested_value"":5,""executor__memory_off_heap__allocated"":5,""executor__memory_heap__max_percentage"":99.49621847615789,""executor__memory_heap__suggested_value"":52,""executors__cpu_utilization__percentage"":28.722960813299693,""executor__memory_off_heap__max_percentage"":89.5997619628906,""executor__memory_off_heap__suggested_value"":5,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":91.94424748420725,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":83.04750720986922}"
links,
version,3.5.7
