metric_id,asset_name,asset_type,metric_group_type,metric_type,task_name,metric_value,asset_value,count_tests,count_open_alerts,count_breaking_alerts
1,polaris-waf-dlr-100,task,environment,num_params,polaris-waf-dlr-100,203,,,,
3,polaris-waf-dlr-100,task,time,duration,polaris-waf-dlr-100,2897.955,,1,,
4,polaris-waf-dlr-100,task,resources,tasks_result_size_bytes,polaris-waf-dlr-100,715955887,,,,
5,polaris-waf-dlr-100,task,resources,executors_used_vcore_time,polaris-waf-dlr-100,2318979.559,,,,
6,polaris-waf-dlr-100,task,resources,shuffle_bytes_written,polaris-waf-dlr-100,18367262637196,,,,
7,polaris-waf-dlr-100,task,time,executors_shuffle_read_time,polaris-waf-dlr-100,1090924.052,,,,
8,polaris-waf-dlr-100,task,resources,num_spark_tasks,polaris-waf-dlr-100,64972,,,,
9,polaris-waf-dlr-100,task,resources,shuffle_records_written,polaris-waf-dlr-100,6787995829,,,,
10,polaris-waf-dlr-100,task,resources,disk_bytes_spilled,polaris-waf-dlr-100,0,,,,
11,polaris-waf-dlr-100,task,resources,output_bytes_written,polaris-waf-dlr-100,5804840422198,,,,
12,polaris-waf-dlr-100,task,resources,num_spark_jobs,polaris-waf-dlr-100,6,,,,
13,polaris-waf-dlr-100,task,resources,num_spark_tasks_retries,polaris-waf-dlr-100,0,,,,
14,polaris-waf-dlr-100,task,resources,shuffle_bytes_read,polaris-waf-dlr-100,18367262637196,,,,
15,polaris-waf-dlr-100,task,resources,output_records_written,polaris-waf-dlr-100,6787995829,,,,
16,polaris-waf-dlr-100,task,resources,num_spark_stages_failures,polaris-waf-dlr-100,0,,,,
17,polaris-waf-dlr-100,task,resources,memory_bytes_spilled,polaris-waf-dlr-100,0,,1,,
18,polaris-waf-dlr-100,task,resources,num_spark_stages,polaris-waf-dlr-100,6,,,,
19,polaris-waf-dlr-100,task,time,executors_jvm_gc_time,polaris-waf-dlr-100,2516.376,,,,
20,polaris-waf-dlr-100,task,resources,num_spark_tasks_failures,polaris-waf-dlr-100,0,,,,
21,polaris-waf-dlr-100,task,time,executors_shuffle_write_time,polaris-waf-dlr-100,457152.455409419,,,,
22,polaris-waf-dlr-100,task,resources,shuffle_records_read,polaris-waf-dlr-100,6787995829,,,,
23,polaris-waf-dlr-100,task,resources,executors_used_vcore_time_of_retried_tasks,polaris-waf-dlr-100,0,,,,
24,polaris-waf-dlr-100,task,resources,input_bytes_read,polaris-waf-dlr-100,0,,,,
25,polaris-waf-dlr-100,task,resources,num_spark_stages_retries,polaris-waf-dlr-100,0,,,,
26,polaris-waf-dlr-100,task,resources,input_records_read,polaris-waf-dlr-100,13575991658,,,,
27,polaris-waf-dlr-100,task,resources,executors_python_used_cpu_time,polaris-waf-dlr-100,0,,,,
28,polaris-waf-dlr-100,task,resources,executor_managed_execution_memory_on_heap_max_used,polaris-waf-dlr-100,19.0078079849482,,,,
