metric_id,asset_name,asset_type,metric_group_type,metric_type,task_name,metric_value,asset_value,count_tests,count_open_alerts,count_breaking_alerts
630,polaris-wtd-one-percent,task,environment,num_params,polaris-wtd-one-percent,195,,,,
632,polaris-wtd-one-percent,task,time,duration,polaris-wtd-one-percent,1892.624,,,,
633,polaris-wtd-one-percent,task,resources,tasks_result_size_bytes,polaris-wtd-one-percent,3465614916,,,,
634,polaris-wtd-one-percent,task,resources,executors_used_vcore_time,polaris-wtd-one-percent,41013.246,,,,
635,polaris-wtd-one-percent,task,resources,shuffle_bytes_written,polaris-wtd-one-percent,300011900687,,,,
636,polaris-wtd-one-percent,task,time,executors_shuffle_read_time,polaris-wtd-one-percent,2.081,,,,
637,polaris-wtd-one-percent,task,resources,num_spark_tasks,polaris-wtd-one-percent,11132,,,,
638,polaris-wtd-one-percent,task,resources,shuffle_records_written,polaris-wtd-one-percent,90682844,,,,
639,polaris-wtd-one-percent,task,resources,disk_bytes_spilled,polaris-wtd-one-percent,0,,,,
640,polaris-wtd-one-percent,task,resources,output_bytes_written,polaris-wtd-one-percent,96291376906,,,,
641,polaris-wtd-one-percent,task,resources,num_spark_jobs,polaris-wtd-one-percent,90,,,,
642,polaris-wtd-one-percent,task,resources,num_spark_tasks_retries,polaris-wtd-one-percent,0,,,,
643,polaris-wtd-one-percent,task,resources,shuffle_bytes_read,polaris-wtd-one-percent,300011900687,,,,
644,polaris-wtd-one-percent,task,resources,output_records_written,polaris-wtd-one-percent,90682844,,,,
645,polaris-wtd-one-percent,task,resources,num_spark_stages_failures,polaris-wtd-one-percent,0,,,,
646,polaris-wtd-one-percent,task,resources,memory_bytes_spilled,polaris-wtd-one-percent,0,,,,
647,polaris-wtd-one-percent,task,resources,num_spark_stages,polaris-wtd-one-percent,90,,,,
648,polaris-wtd-one-percent,task,time,executors_jvm_gc_time,polaris-wtd-one-percent,60.576,,,,
649,polaris-wtd-one-percent,task,resources,num_spark_tasks_failures,polaris-wtd-one-percent,0,,,,
650,polaris-wtd-one-percent,task,time,executors_shuffle_write_time,polaris-wtd-one-percent,124.903191277,,,,
651,polaris-wtd-one-percent,task,resources,shuffle_records_read,polaris-wtd-one-percent,90682844,,,,
652,polaris-wtd-one-percent,task,resources,executors_used_vcore_time_of_retried_tasks,polaris-wtd-one-percent,0,,,,
653,polaris-wtd-one-percent,task,resources,input_bytes_read,polaris-wtd-one-percent,0,,,,
654,polaris-wtd-one-percent,task,resources,num_spark_stages_retries,polaris-wtd-one-percent,0,,,,
655,polaris-wtd-one-percent,task,resources,input_records_read,polaris-wtd-one-percent,181365688,,,,
656,polaris-wtd-one-percent,task,resources,executors_python_used_cpu_time,polaris-wtd-one-percent,0,,,,
