key,value
tf_id,96716
agent_tf_id,16
task_id,6992
env,default
task_name,polaris-wtd-one-percent
app_id,7
app_name,polaris-wtd-one-percent
app_pit,2026-07-20T17:40:07
output_name,abfss://polaris-wtd@wtdonepctprodnew.dfs.core.windows.net/parquet
tf_type,file
status,COMPLETED
start_time,2026-07-20T17:57:45.387000+00:00
end_time,2026-07-20T17:58:23.415000+00:00
duration,38.028
cnt_test_runs,
cnt_alerts,
cnt_breaks,
cnt_metrics,
tf_io_type,output
error,
description,save at FormatSparkWriter.scala:28 (InsertIntoHadoopFsRelationCommand)
