task_id,start_time_ms,start_date,end_time_ms,status,duration_s,dyn_max_executors,dyn_min_executors,executor_instances,executor_cores,heap_alloc_gb,heap_used_gb,shuffle_partitions,vcore_ks_alloc,vcore_ks_used,vcore_util_pct,heap_headroom,gc_pct,spill_gb,idle_pct,skew_pct,cluster_max_workers,cluster_min_workers,worker_type,cloud_provider
1894916614,1751632327380,2025-07-04 12:32:07 UTC,1751633472758,COMPLETED,1100,1600,10,400,1,20,14.8375033959746,200,884,264.3,29.9,0.258,0.67,0,12.2,61.5,,,,
306514902,1751635918716,2025-07-04 13:31:58 UTC,1751636516943,FAILED,600,1600,10,400,1,20,12.8416326195002,200,117.2,75.5,64.4,0.358,2.25,0,7.9,20.6,,,,
1172503396,1751636587588,2025-07-04 13:43:07 UTC,1751637571160,COMPLETED,1000,1600,10,400,1,20,13.797369338572,200,539.9,169.5,31.4,0.310,0.79,0,11.3,60.1,,,,
879573148,1751639546567,2025-07-04 14:32:26 UTC,1751640240225,COMPLETED,700,1600,10,400,1,20,14.1897272914648,200,158.4,36.0,22.7,0.291,0.97,0,22.6,45.3,,,,
787578092,1751639548280,2025-07-04 14:32:28 UTC,1751640610465,COMPLETED,1100,1600,10,400,1,20,15.3972956463695,200,926.5,233.5,25.2,0.230,0.69,0,11.9,54.3,,,,
1194345533,1751643168773,2025-07-04 15:32:48 UTC,1751644212969,COMPLETED,1000,1600,10,400,1,20,14.3489069789648,200,341.9,85.8,25.1,0.283,0.61,0,12.6,56.6,,,,
1490730170,1751643173248,2025-07-04 15:32:53 UTC,1751644355049,COMPLETED,1200,1600,10,400,1,20,15.677127674222,200,1657.5,449.2,27.1,0.216,0.6,0,11.7,61.1,,,,
525409824,1751646726061,2025-07-04 16:32:06 UTC,1751647923396,COMPLETED,1200,1600,10,400,1,20,14.8217841610312,200,1636.1,359.9,22,0.259,0.62,0,12.8,63.2,,,,
1852104898,1751650320090,2025-07-04 17:32:00 UTC,1751651533566,COMPLETED,1200,1600,10,400,1,20,14.1519503593445,200,1180.1,260.8,22.1,0.292,0.65,0,10.1,57.4,,,,
2057959392,1751650321621,2025-07-04 17:32:01 UTC,1751651344517,COMPLETED,1000,1600,10,400,1,20,13.3325153663754,200,666.3,135.9,20.4,0.333,0.72,0,10.7,57.2,,,,
1580445452,1751653942416,2025-07-04 18:32:22 UTC,1751655039760,COMPLETED,1100,1600,10,400,1,20,13.8969782665372,200,1563.9,386.3,24.7,0.305,0.69,0,10.4,63,,,,
814558868,1751653943249,2025-07-04 18:32:23 UTC,1751654554581,COMPLETED,600,1600,10,400,1,20,12.2239067479968,200,45.1,8.6,19.1,0.389,0.66,0,20.3,46.3,,,,
1369118663,1751658175088,2025-07-04 19:42:55 UTC,1751659124346,COMPLETED,900,1600,10,400,1,20,15.4842344671488,200,1348.9,361.5,26.8,0.226,0.74,0,13.1,59.3,,,,
309533379,1751658176883,2025-07-04 19:42:56 UTC,1751658962099,COMPLETED,800,1600,10,400,1,20,11.7611142322421,200,221.2,43.1,19.5,0.412,0.86,0,17.1,56.8,,,,
456760325,1751661126458,2025-07-04 20:32:06 UTC,1751661810602,COMPLETED,700,1600,10,400,1,20,11.1188218072057,200,70.7,13.2,18.6,0.444,0.77,0,25,41.2,,,,
375358171,1751661127099,2025-07-04 20:32:07 UTC,1751662427485,COMPLETED,1300,1600,10,400,1,20,15.397955968976,200,1876.5,379.1,20.2,0.230,0.55,0,11.8,66.2,,,,
593136816,1751664772170,2025-07-04 21:32:52 UTC,1751665418933,COMPLETED,600,1600,10,400,1,20,11.4585012048483,200,114.8,25.5,22.2,0.427,0.95,0,22.5,46.1,,,,
914834458,1751664786934,2025-07-04 21:33:06 UTC,1751665761640,COMPLETED,1000,1600,10,400,1,20,14.9242921471596,200,695.6,180.9,26,0.254,0.69,0,13.6,53.8,,,,
768081243,1751668278082,2025-07-04 22:31:18 UTC,1751669369767,COMPLETED,1100,1600,10,400,1,20,14.0336973741651,200,1568.2,410.9,26.2,0.298,0.63,0,10.4,65,,,,
143283643,1751668282309,2025-07-04 22:31:22 UTC,1751668772708,COMPLETED,500,1600,10,400,1,20,11.2755191028118,200,35.1,3.8,10.8,0.436,0.31,0,23.9,36.9,,,,
1376941134,1751671891854,2025-07-04 23:31:31 UTC,1751673101421,COMPLETED,1200,1600,10,400,1,20,15.1828918009996,200,1755.1,475.6,27.1,0.241,0.55,0,11.2,63.4,,,,
285092215,1751675677713,2025-07-05 00:34:37 UTC,1751676676023,COMPLETED,1000,1600,10,400,1,20,13.6949433535337,200,1442.2,356.2,24.7,0.315,0.68,0,12.3,60.4,,,,
1836063605,1751679109418,2025-07-05 01:31:49 UTC,1751680106763,COMPLETED,1000,1600,10,400,1,20,14.1576845645905,200,1398.8,388.9,27.8,0.292,0.71,0,12.7,62.3,,,,
558679796,1751679115604,2025-07-05 01:31:55 UTC,1751679770990,COMPLETED,700,1600,10,400,1,20,10.0700805559754,200,62.5,10.9,17.4,0.496,0.66,0,17.4,53.3,,,,
48201596,1751682662580,2025-07-05 02:31:02 UTC,1751683770553,COMPLETED,1100,1600,10,400,1,20,15.7131090313196,200,1599.7,460.7,28.8,0.214,0.65,0,10.1,64.9,,,,
1845943937,1751686331957,2025-07-05 03:32:11 UTC,1751687363313,COMPLETED,1000,1600,10,400,1,20,14.8371826559305,200,1532,435.1,28.4,0.258,0.71,0,8.2,65.3,,,,
477861689,1751689906024,2025-07-05 04:31:46 UTC,1751691179816,COMPLETED,1300,1600,10,400,1,20,14.1977595090866,200,1227.5,358.4,29.2,0.290,0.55,0,8.7,46.2,,,,
1039616787,1751689909664,2025-07-05 04:31:49 UTC,1751691051940,COMPLETED,1100,1600,10,400,1,20,13.4995170980692,200,1673.1,533.7,31.9,0.325,0.64,0,10,60.5,,,,
190307402,1751693513480,2025-07-05 05:31:53 UTC,1751694494842,COMPLETED,1000,1600,10,400,1,20,14.0457498729229,200,1383.2,373.5,27,0.298,0.73,0,15.5,53.6,,,,
1659227736,1751697103644,2025-07-05 06:31:43 UTC,1751698160008,COMPLETED,1100,1600,10,400,1,20,14.8598692193627,200,1525.4,370.7,24.3,0.257,0.67,0,19.6,53.4,,,,
72885083,1751704294318,2025-07-05 08:31:34 UTC,1751705365080,COMPLETED,1100,1600,10,400,1,20,13.0065559074283,200,1026.5,290.5,28.3,0.350,0.62,0,7.2,60.1,,,,
271440173,1751704300255,2025-07-05 08:31:40 UTC,1751705456212,COMPLETED,1200,1600,10,400,1,20,14.3049610257149,200,1676.7,565.0,33.7,0.285,0.58,0,9.3,59.9,,,,
920860938,1751707956420,2025-07-05 09:32:36 UTC,1751708904948,COMPLETED,900,1600,10,400,1,20,14.3784233927727,200,1137.3,298.0,26.2,0.281,0.77,0,11.3,60.1,,,,
1996199079,1751711470351,2025-07-05 10:31:10 UTC,1751712612521,COMPLETED,1100,1600,10,400,1,20,14.9711970612407,200,1699,511.4,30.1,0.251,0.56,0,11.1,56.1,,,,
469502910,1751715198725,2025-07-05 11:33:18 UTC,1751716550813,COMPLETED,1400,1600,10,400,1,20,15.2992343530059,200,1275.6,299.8,23.5,0.235,0.48,0,10.8,67.5,,,,
341819513,1751718720879,2025-07-05 12:32:00 UTC,1751719791639,COMPLETED,1100,1600,10,400,1,20,14.7892122045159,200,940.1,259.5,27.6,0.261,0.68,0,10.6,66.4,,,,
1841991876,1751722326610,2025-07-05 13:32:06 UTC,1751722899111,COMPLETED,600,1600,10,400,1,20,8.48987317830324,200,44.9,7.3,16.2,0.576,0.62,0,21.8,39,,,,
2000541992,1751722331660,2025-07-05 13:32:11 UTC,1751723306042,COMPLETED,1000,1600,10,400,1,20,14.7662049606442,200,1066,286.8,26.9,0.262,0.75,0,15.1,58.5,,,,
165254818,1751725898862,2025-07-05 14:31:38 UTC,1751726901715,COMPLETED,1000,1600,10,400,1,20,15.6544644981623,200,1186.6,359.5,30.3,0.217,0.71,0,10.1,63.9,,,,
1215493009,1751725901353,2025-07-05 14:31:41 UTC,1751726777881,COMPLETED,900,1600,10,400,1,20,11.1069391742349,200,282.2,75.3,26.7,0.445,0.72,0,15.1,49.4,,,,
339035585,1751729512981,2025-07-05 15:31:52 UTC,1751730716238,COMPLETED,1200,1600,10,400,1,20,14.3786263689399,200,1643.4,410.9,25,0.281,0.59,0,9,66.2,,,,
1788992069,1751729516394,2025-07-05 15:31:56 UTC,1751730502060,COMPLETED,1000,1600,10,400,1,20,13.7603733837605,200,528.6,120.5,22.8,0.312,0.66,0,11.7,58.4,,,,
142937728,1751733444647,2025-07-05 16:37:24 UTC,1751734680085,COMPLETED,1200,1600,10,400,1,20,13.3735403940082,200,1804.6,521.5,28.9,0.331,0.56,0,9.9,64.4,,,,
888745019,1751736732701,2025-07-05 17:32:12 UTC,1751737962502,COMPLETED,1200,1600,10,400,1,20,13.321793332696,200,1255.1,356.4,28.4,0.334,0.64,0,12.9,59.3,,,,
433525780,1751736747400,2025-07-05 17:32:27 UTC,1751737846964,COMPLETED,1100,1600,10,400,1,20,12.6888571828604,200,1119.9,290.1,25.9,0.366,0.7,0,13.1,55.1,,,,
1748502815,1751740284873,2025-07-05 18:31:24 UTC,1751741266224,COMPLETED,1000,1600,10,400,1,20,12.7536125779152,200,670.7,158.3,23.6,0.362,0.71,0,9.4,59.7,,,,
2059711793,1751740289740,2025-07-05 18:31:29 UTC,1751741409911,COMPLETED,1100,1600,10,400,1,20,14.8381439596415,200,1515.3,392.5,25.9,0.258,0.58,0,10,63.8,,,,
1713703945,1751759637231,2025-07-05 23:53:57 UTC,1751762116527,COMPLETED,2500,1600,10,400,1,20,14.8241452500224,200,2911.3,276.6,9.5,0.259,0.31,0,35.3,29,,,,
748757578,1751760414017,2025-07-06 00:06:54 UTC,1751762355695,COMPLETED,1900,1600,10,400,1,20,14.6215458810329,200,674.7,85.7,12.7,0.269,0.39,0,39.9,24.5,,,,
